"Date","MonthYear","Year","Easting","Northing","Depth","V1","ICS","dsdt","ICS_max","dsmaxdt","V2","V3","V4","best_threshold","intensity_above_threshold_sqrtV2_icsmax","lambda_sqrtV2_per_km2","intensity_above_0_icsmax"
"2016-01-01","2016-01",2016,228000,574500,3,8.24664183145049,0,0,0,0,12.7347974429663,13.0799799938092,13.2485158272506,1.67347974429663,0,0,0
"2016-01-01","2016-01",2016,228000,575000,3,8.06984432911993,0,0,0,0,12.6638260229067,12.994259787495,13.0991457741863,1.66638260229067,0,0,0
"2016-01-01","2016-01",2016,228000,575500,3,7.92071167864536,0,0,0,0,12.2539423223079,12.7545444146355,13.4722000472596,1.62539423223079,0,0,0
"2016-01-01","2016-01",2016,228000,576000,3,7.80083069270376,0,0,0,0,11.8509795096629,12.5302042690815,13.2650348952472,1.58509795096629,0,0,0
"2016-01-01","2016-01",2016,228000,576500,3,7.71156569681079,0,0,0,0,11.4556679525224,12.3220791599839,12.9739940871008,1.54556679525224,0,0,0
"2016-01-01","2016-01",2016,228000,577000,3,7.65398794722261,0,0,0,0,11.0688274509294,12.131003694044,12.6959794569827,1.50688274509294,0,0,0
"2016-01-01","2016-01",2016,228000,577500,3,7.62881494704314,0,0,0,0,10.6913775556964,11.9577952158794,12.4318649514917,1.46913775556964,0,0,0
"2016-01-01","2016-01",2016,228000,578000,3,7.63636716614837,0,0,0,0,10.3243482573211,11.8032403273385,12.145626646613,1.43243482573211,0,0,0
"2016-01-01","2016-01",2016,228000,578500,3,7.67654801953513,0,0,0,0,9.96889060219086,11.668080305899,11.6939375335648,1.39688906021909,0,0,0
"2016-01-01","2016-01",2016,228000,579000,3,7.74884994668427,0,0,0,0,9.62628654977864,11.2463373343909,11.5529958809353,1.36262865497786,0,0,0
"2016-01-01","2016-01",2016,228000,579500,3,7.85238572003622,0,0,0,0,9.29795706800419,10.8033342926577,11.4585919564713,1.32979570680042,0,0,0
"2016-01-01","2016-01",2016,228000,580000,3,7.98594061436902,0,0,0,0,8.98546707402843,10.3655178471177,11.3520097415447,1.29854670740284,0,0,0
"2016-01-01","2016-01",2016,228000,580500,3,8.14803862878844,0,0,0,0,8.6905253833384,9.9335738100099,11.1906879579464,1.26905253833384,0,0,0
"2016-01-01","2016-01",2016,228000,581000,3,8.33701502314999,0,0,0,0,8.4149773819333,9.50830253194095,11.0496546901759,1.24149773819333,0,0,0
"2016-01-01","2016-01",2016,228000,581500,3,8.16078778295631,0,0,0,0,8.55108797149395,9.09064054062829,10.92969535587,1.25510879714939,0,0,0
"2016-01-01","2016-01",2016,228000,582000,3,7.93001072751159,0,0,0,0,8.68168611727668,8.78842372079479,10.8315101611976,1.26816861172767,0,0,0
"2016-01-01","2016-01",2016,228000,582500,3,7.72474485264392,0,0,0,0,8.28272915402372,9.04719169113977,10.7556954294981,1.22827291540237,0,0,0
"2016-01-01","2016-01",2016,228000,583000,3,7.54707201094893,0,0,0,0,7.89528534246322,9.32560794244689,10.7027265671943,1.18952853424632,0,0,0
"2016-01-01","2016-01",2016,228000,583500,3,7.39898025666028,0,0,0,0,7.52113415908229,9.62196702843179,10.6729437257079,1.15211341590823,0,0,0
