"Date","MonthYear","Year","Easting","Northing","Depth","V1","ICS","dsdt","ICS_max","dsmaxdt","V2","V3","V4","best_threshold","intensity_above_threshold_sqrtV2_icsmax","lambda_sqrtV2_per_km2","intensity_above_0_icsmax"
"2005-01-01","2005-01",2005,228000,574500,3,12.7347974429663,0,0,0,0,12.7802607920724,18.4988436133855,18.5297168362739,1.67802607920724,0,0,0
"2005-01-01","2005-01",2005,228000,575000,3,13.0991457741863,0,0,0,0,13.1433488888252,18.3283629119595,18.3595228160345,1.71433488888252,0,0,0
"2005-01-01","2005-01",2005,228000,575500,3,13.4722000472596,0,0,0,0,13.5151830958142,18.1700456530107,18.2014765893455,1.75151830958142,0,0,0
"2005-01-01","2005-01",2005,228000,576000,3,13.8532569532721,0,0,0,0,13.8950612885795,18.0242123553983,18.0558971539077,1.78950612885795,0,0,0
"2005-01-01","2005-01",2005,228000,576500,3,14.2416741401207,0,0,0,0,14.2823416257063,17.8911682970256,17.9230882950593,1.82823416257063,0,0,0
"2005-01-01","2005-01",2005,228000,577000,3,14.6368656622032,0,0,0,0,14.6764381378242,17.7712007200553,17.803335811934,1.86764381378242,0,0,0
"2005-01-01","2005-01",2005,228000,577500,3,15.0382974605965,0,0,0,0,15.0768163255172,17.6645760501772,17.6969047585303,1.90768163255172,0,0,0
"2005-01-01","2005-01",2005,228000,578000,3,15.4454829841408,0,0,0,0,15.4829888785525,17.5715371846772,17.6040367538952,1.94829888785525,0,0,0
"2005-01-01","2005-01",2005,228000,578500,3,15.857979023614,0,0,0,0,15.894511590904,17.4923009073276,17.5249474188225,1.9894511590904,0,0,0
"2005-01-01","2005-01",2005,228000,579000,3,16.2753818023843,0,0,0,0,16.3109795172878,17.4270554894536,17.4598239977525,2.03109795172878,0,0,0
"2005-01-01","2005-01",2005,228000,579500,3,16.6973233457756,0,0,0,0,16.732023395674,17.3759585356461,17.4088232236557,2.0732023395674,0,0,0
"2005-01-01","2005-01",2005,228000,580000,3,17.1234681362562,0,0,0,0,17.1573063449185,17.3391351293106,17.3720694804187,2.11573063449185,0,0,0
"2005-01-01","2005-01",2005,228000,580500,3,17.3166763275316,0,0,0,0,17.3496533115937,17.5535100510804,17.5865208359522,2.13496533115937,0,0,0
"2005-01-01","2005-01",2005,228000,581000,3,17.3086380467238,0,0,0,0,17.3416303164522,17.9871695720417,18.0193859277552,2.13416303164522,0,0,0
"2005-01-01","2005-01",2005,228000,581500,3,17.3150403705129,0,0,0,0,17.3480204643784,18.4241912526271,18.4556447547459,2.13480204643784,0,0,0
"2005-01-01","2005-01",2005,228000,582000,3,17.3358672996909,0,0,0,0,17.3688078471867,18.1083175246747,18.8280454733515,2.13688078471867,0,0,0
"2005-01-01","2005-01",2005,228000,582500,3,17.3710669514711,0,0,0,0,17.4039408764938,17.713763588646,18.4306308559038,2.14039408764938,0,0,0
"2005-01-01","2005-01",2005,228000,583000,3,17.3246551877502,0,0,0,0,17.4205522022838,17.4533329204623,18.0383206298866,2.14205522022838,0,0,0
"2005-01-01","2005-01",2005,228000,583500,3,16.9413675443997,0,0,0,0,17.4842017556563,17.5168633617007,17.6514551396363,2.14842017556563,0,0,0
"2005-01-01","2005-01",2005,228000,584000,3,16.5643047295816,0,0,0,0,17.2704002833343,17.5618616049806,17.5943790465163,2.12704002833343,0,0,0
"2005-01-01","2005-01",2005,228000,584500,3,16.1939015704814,0,0,0,0,16.8955492170747,17.6533468507389,17.6856960856081,2.08955492170747,0,0,0
"2005-01-01","2005-01",2005,228000,585000,3,15.8306255395812,0,0,0,0,16.5273240649112,17.7584438235025,17.7906019581265,2.05273240649112,0,0,0
"2005-01-01","2005-01",2005,228000,585500,3,15.4749785742805,0,0,0,0,16.1661775985108,17.512755857239,17.8769124580419,2.01661775985108,0,0,0
"2005-01-01","2005-01",2005,228000,586000,3,15.1274987613432,0,0,0,0,15.8125948391335,17.019413333463,18.0084888603262,1.98125948391335,0,0,0
"2005-01-01","2005-01",2005,228000,586500,3,14.7887618032897,0,0,0,0,15.4670945218096,16.5264709697884,18.1528880080414,1.94670945218096,0,0,0
"2005-01-01","2005-01",2005,228000,587000,3,14.4593821643402,0,0,0,0,15.130230346779,16.0339656733841,18.3098065263534,1.9130230346779,0,0,0
"2005-01-01","2005-01",2005,228000,599000,3,4.71376232061596,0,0,0,0,11.3076919914915,11.4696315523469,18.3515729660168,1.53076919914915,0,0,0
"2005-01-01","2005-01",2005,228000,599500,3,4.32242613762904,0,0,0,0,11.4337288350931,11.564830536873,18.3970899744237,1.54337288350931,0,0,0
"2005-01-01","2005-01",2005,228000,6e+05,3,3.95565168022397,0,0,0,0,11.5800005170311,11.6806747556206,18.4560453165633,1.55800005170311,0,0,0
"2005-01-01","2005-01",2005,228000,600500,3,3.62091048153068,0,0,0,0,11.7457510987778,11.8165570343731,18.5283107143376,1.57457510987778,0,0,0
"2005-01-01","2005-01",2005,228000,601000,3,3.32788299302405,0,0,0,0,11.9301687236367,11.9717950845557,18.6137311446964,1.59301687236367,0,0,0
"2005-01-01","2005-01",2005,228000,601500,3,3.08846526858547,0,0,0,0,12.1324021807077,12.1456467487982,18.7121264512358,1.61324021807077,0,0,0
"2005-01-01","2005-01",2005,228000,602000,3,2.91589269611533,0,0,0,0,12.3373251698491,12.3515764003807,18.8232931637118,1.63373251698491,0,0,0
"2005-01-01","2005-01",2005,228000,602500,3,2.82245331498304,0,0,0,0,12.5460133009092,12.5868064446245,18.9470064845885,1.65460133009092,0,0,0
"2005-01-01","2005-01",2005,228000,611000,3,8.68049855798956,0,0,0,0,17.9494018158431,18.2935525192468,22.6919538851779,2.19494018158431,0,0,0
"2005-01-01","2005-01",2005,228000,611500,3,9.15504602474825,0.00306950261752899,1.326549442852e-05,0.00306950261752899,1.326549442852e-05,18.3404984377904,18.6954625691487,22.9912474721804,2.23404984377904,5.70152691405219e-08,2.33163992216661e-07,1.22334007677273e-05
"2005-01-01","2005-01",2005,228000,612000,3,9.63216902962457,0,0,0,0,18.7367750786145,19.1020045433573,23.2974279594774,2.27367750786145,0,0,0
"2005-01-01","2005-01",2005,228000,612500,3,10.1115029899248,0,0,0,0,19.1379099628614,19.512888932048,23.6102274179441,2.31379099628614,0,0,0
"2005-01-01","2005-01",2005,228000,613000,3,10.5927477651107,0,0,0,0,19.543603944682,19.9278471334573,23.9293862839614,2.3543603944682,0,0,0
"2005-01-01","2005-01",2005,228000,613500,3,11.0756542793308,0,0,0,0,19.9535789407963,20.3466298996773,24.2546535148833,2.39535789407963,0,0,0
"2005-01-01","2005-01",2005,228000,614000,3,11.5600142826581,0,0,0,0,20.3675764377255,20.7690058783381,24.5857866729344,2.43675764377255,0,0,0
"2005-01-01","2005-01",2005,228000,614500,3,12.0456524404143,0,0,0,0,20.7853560793793,21.1947602504591,24.922551946521,2.47853560793793,0,0,0
"2005-01-01","2005-01",2005,228000,615000,3,12.532420165924,0,0,0,0,21.206694338029,21.6236934628301,25.2647241173744,2.5206694338029,0,0,0
"2005-01-01","2005-01",2005,228000,615500,3,13.0201907710778,0,0,0,0,21.6313832693749,22.0556200519151,25.6120864813283,2.56313832693749,0,0,0
"2005-01-01","2005-01",2005,228500,574000,3,12.724069699329,0,0,0,0,12.7695712423473,18.2251309578969,18.2564670577988,1.67695712423473,0,0,0
"2005-01-01","2005-01",2005,228500,574500,3,13.0696022821424,0,0,0,0,13.1139049795773,18.0382113978214,18.0698716495855,1.71139049795773,0,0,0
"2005-01-01","2005-01",2005,228500,575000,3,13.4248671469546,0,0,0,0,13.4680012590355,17.8633351430379,17.8953047873595,1.74680012590355,0,0,0
"2005-01-01","2005-01",2005,228500,575500,3,13.7891120821241,0,0,0,0,13.8311102957565,17.7008591439086,17.7331217057937,1.78311102957565,0,0,0
"2005-01-01","2005-01",2005,228500,576000,3,14.1616441882072,0,0,0,0,14.2025408330123,17.5511277823533,17.5836650739399,1.82025408330123,0,0,0
"2005-01-01","2005-01",2005,228500,576500,3,14.5418265776133,0,0,0,0,14.581656977634,17.414469800499,17.4472619465776,1.8581656977634,0,0,0
"2005-01-01","2005-01",2005,228500,577000,3,14.929074797635,0,0,0,0,14.9678747427075,17.2911951707363,17.3242206587336,1.89678747427075,0,0,0
"2005-01-01","2005-01",2005,228500,577500,3,15.322853142068,0,0,0,0,15.3606584628844,17.1815919644395,17.2148277200933,1.93606584628844,0,0,0
"2005-01-01","2005-01",2005,228500,578000,3,15.7226709726236,0,0,0,0,15.7595172043239,17.085923282998,17.1193447722888,1.97595172043239,0,0,0
"2005-01-01","2005-01",2005,228500,578500,3,16.1280791358854,0,0,0,0,16.1640012562911,17.0044243193497,17.0380056765014,2.01640012562911,0,0,0
"2005-01-01","2005-01",2005,228500,579000,3,16.5386665337137,0,0,0,0,16.5736987638059,16.9372996204381,16.9710138009635,2.05736987638059,0,0,0
"2005-01-01","2005-01",2005,228500,579500,3,16.8847206205046,0,0,0,0,16.9185395774131,16.9540568836306,16.9882325394192,2.09185395774131,0,0,0
"2005-01-01","2005-01",2005,228500,580000,3,16.8468235116444,0,0,0,0,16.8807183920736,17.3739056896652,17.4072570760985,2.08807183920736,0,0,0
"2005-01-01","2005-01",2005,228500,580500,3,16.8237075114998,0,0,0,0,16.8576488702456,17.7978974323761,17.8304557713307,2.08576488702456,0,0,0
"2005-01-01","2005-01",2005,228500,581000,3,16.8154335784866,0,0,0,0,16.849391604224,18.2257429783639,18.2575383640123,2.0849391604224,0,0,0
"2005-01-01","2005-01",2005,228500,581500,3,16.822023612886,0,0,0,0,16.8559683623485,18.2266485063612,18.6571772037836,2.08559683623485,0,0,0
"2005-01-01","2005-01",2005,228500,582000,3,16.8434601680442,0,0,0,0,16.8773618030927,17.8206894556423,18.5430984586339,2.08773618030927,0,0,0
"2005-01-01","2005-01",2005,228500,582500,3,16.8796866805191,0,0,0,0,16.9135157029073,17.4196219699062,18.1394420489328,2.09135157029073,0,0,0
"2005-01-01","2005-01",2005,228500,583000,3,16.9306082121256,0,0,0,0,16.964335690869,17.0237917772287,17.7406937645232,2.0964335690869,0,0,0
"2005-01-01","2005-01",2005,228500,583500,3,16.6335727784033,0,0,0,0,16.9960926813339,17.0296904679003,17.3471920680723,2.09960926813339,0,0,0
"2005-01-01","2005-01",2005,228500,584000,3,16.2493692269712,0,0,0,0,16.959302168621,17.0759725471931,17.1094134742397,2.0959302168621,0,0,0
"2005-01-01","2005-01",2005,228500,584500,3,15.8716179759481,0,0,0,0,16.5774179969799,17.1700468966306,17.2033049566789,2.05774179969799,0,0,0
