"Date","MonthYear","Year","Easting","Northing","Depth","V1","ICS","dsdt","ICS_max","dsmaxdt","intensity_above_0","normalised_intensity","endpoint"
"2027-01-01","2027-01",2027,228000,574500,3,4.69649474577871,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,575000,3,5.10554118552842,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,575500,3,5.52956044339213,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,576000,3,5.96536055885366,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,576500,3,6.3478216259317,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,577000,3,6.09112575757931,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,577500,3,5.86590032259722,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,578000,3,5.67589289844745,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,578500,3,5.52473834626096,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,579000,3,5.41569085109612,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,579500,3,5.35132516248511,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,580000,3,5.3332592844007,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,580500,3,5.36196122651464,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,581000,3,4.970124498736,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,581500,3,4.58159290344917,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,582000,3,4.21661588634012,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,582500,3,3.88184305877194,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,583000,3,3.58574420907793,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,583500,3,3.33862509619393,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,584000,3,3.15202689280024,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,584500,3,3.03712520863661,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,585000,3,3.00216347538504,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,585500,3,3.04989205266941,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,586000,3,3.17658582961897,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,586500,3,3.3733593838985,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,587000,3,3.62883032572978,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,599000,3,3.13569146198147,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,599500,3,3.30388411490831,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,6e+05,3,3.535355646147,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,600500,3,3.62091048153068,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,601000,3,3.32788299302405,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,601500,3,3.08846526858547,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,602000,3,2.91589269611533,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,602500,3,2.82245331498304,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,611000,3,7.8102128728849,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,611500,3,8.27396679469872,0.00700456223238816,1.68992150191699e-05,0.00700456223238816,1.68992150191699e-05,1.27154925929606e-05,2.26574894141713e-08,3.24015875815552
"2027-01-01","2027-01",2027,228000,612000,3,8.74171767559311,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,612500,3,9.21285674043492,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,613000,3,9.6868896308246,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,613500,3,10.1634114410358,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,614000,3,10.6420878364998,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,614500,3,11.1226406450886,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,615000,3,11.6048367640298,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228000,615500,3,12.0884795454092,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,574000,3,4.36877740301873,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,574500,3,4.75349386211101,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,575000,3,5.15802208187664,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,575500,3,5.5780533967619,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,576000,3,6.0103383928966,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,576500,3,6.00050598655198,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,577000,3,5.72826725063052,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,577500,3,5.4881708514446,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,578000,3,5.2845995964355,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,578500,3,5.12191043407108,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,579000,3,5.00409233474426,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,579500,3,4.93436051526905,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,580000,3,4.91476218088386,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,580500,3,4.9458933363596,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,581000,3,5.0059227354141,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,581500,3,4.62040241028158,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,582000,3,4.25875268511049,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,582500,3,3.92757309708373,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,583000,3,3.63520101685394,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,583500,3,3.39168725458818,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,584000,3,3.20817680824108,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,584500,3,3.09536014591775,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,585000,3,3.06106361138347,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,585500,3,3.10788777676029,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,586000,3,3.23230914872573,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,586500,3,3.42588359885973,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,587000,3,3.67770776883321,0.0168749585167338,3.58398590627022e-05,0.0168749585167338,3.58398590627022e-05,3.13989421761462e-05,5.59491655373269e-08,3.30335556583158
"2027-01-01","2027-01",2027,228500,587500,3,3.97673112404348,0.0176781059864956,3.88612308028016e-05,0.0176781059864956,3.88612308028016e-05,3.4470082929792e-05,6.14215716282778e-08,3.30849784732868
"2027-01-01","2027-01",2027,228500,598500,3,3.02113962682023,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,599000,3,3.11614729188841,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,599500,3,3.28534065885769,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,6e+05,3,3.51803248204781,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,600500,3,3.68396009957474,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,601000,3,3.39637667452518,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,601500,3,3.1621491133814,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,602000,3,2.99382690135197,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,602500,3,2.90289717614296,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,610000,3,6.90384309061098,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,610500,3,7.35677584406219,0.0365888838557392,8.48165112418975e-05,0.0365888838557392,8.48165112418975e-05,0.000100696270515899,1.79428729683943e-07,3.42957715940278
"2027-01-01","2027-01",2027,228500,611000,3,7.81544958526232,0.0375521128878333,8.30166658509005e-05,0.0375521128878333,8.30166658509005e-05,0.000100033868379606,1.78248408176044e-07,3.43574438897854
"2027-01-01","2027-01",2027,228500,611500,3,8.2789101710175,0.00526058983770209,1.20652986066207e-05,0.00526058983770209,1.20652986066207e-05,8.8374888506992e-06,1.57473498268895e-08,3.22899269300025
"2027-01-01","2027-01",2027,228500,612000,3,8.74639668776674,0.0035475067586584,8.28181614334015e-06,0.0035475067586584,8.28181614334015e-06,5.90809321615709e-06,1.05275166120677e-08,3.21802440168138
"2027-01-01","2027-01",2027,228500,612500,3,9.21729658955255,0.00313920768655155,7.58881893033001e-06,0.00313920768655155,7.58881893033001e-06,5.37975368995258e-06,9.58607866662039e-09,3.21541020087414
"2027-01-01","2027-01",2027,228500,613000,3,9.69111231076068,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,613500,3,10.1674362166564,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,614000,3,10.6459316463979,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,614500,3,11.1263184396177,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,615000,3,11.6083617888045,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,228500,615500,3,12.0918635792742,0,0,0,0,0,0,3.1953109162348
"2027-01-01","2027-01",2027,229000,573500,3,4.13707252741925,0,0,0,0,0,0,3.1953109162348
