"Easting","Northing","ICS_max","Date"
229500,577500,0,"1995-03-01"
229500,578000,0,"1995-03-01"
229500,578500,0,"1995-03-01"
229500,579000,0,"1995-03-01"
229500,579500,0,"1995-03-01"
229500,580000,0,"1995-03-01"
229500,580500,0,"1995-03-01"
229500,581000,0,"1995-03-01"
229500,581500,0,"1995-03-01"
229500,582000,0,"1995-03-01"
229500,582500,0,"1995-03-01"
229500,583000,0,"1995-03-01"
229500,583500,0,"1995-03-01"
229500,584000,0,"1995-03-01"
229500,584500,0,"1995-03-01"
229500,585000,0,"1995-03-01"
229500,585500,0,"1995-03-01"
229500,586000,0,"1995-03-01"
229500,586500,0,"1995-03-01"
229500,587000,0,"1995-03-01"
229500,587500,0.00707497341850558,"1995-03-01"
229500,588000,0.00744208887476199,"1995-03-01"
229500,597500,0,"1995-03-01"
229500,598000,0,"1995-03-01"
229500,598500,0,"1995-03-01"
229500,599000,0,"1995-03-01"
229500,599500,0,"1995-03-01"
229500,6e+05,0,"1995-03-01"
229500,600500,0,"1995-03-01"
229500,601000,0,"1995-03-01"
229500,601500,0,"1995-03-01"
229500,602000,0,"1995-03-01"
229500,608500,0.0173295752259146,"1995-03-01"
229500,609000,0.025093962332711,"1995-03-01"
229500,609500,0.0230348039370579,"1995-03-01"
229500,610000,0.0208380835857328,"1995-03-01"
229500,610500,0.0159306360882238,"1995-03-01"
229500,611000,0.00986441813742032,"1995-03-01"
229500,611500,0.00076962897822348,"1995-03-01"
229500,612000,0.000748911073187465,"1995-03-01"
229500,612500,0.000646084177503045,"1995-03-01"
229500,613000,0,"1995-03-01"
229500,613500,0,"1995-03-01"
229500,614000,0,"1995-03-01"
229500,614500,0,"1995-03-01"
229500,615000,0,"1995-03-01"
229500,615500,0,"1995-03-01"
230000,573000,0,"1995-03-01"
230000,573500,0,"1995-03-01"
230000,574000,0,"1995-03-01"
230000,574500,0,"1995-03-01"
230000,575000,0,"1995-03-01"
230000,575500,0,"1995-03-01"
230000,576000,0,"1995-03-01"
230000,576500,0,"1995-03-01"
230000,577000,0,"1995-03-01"
230000,577500,0,"1995-03-01"
230000,578000,0,"1995-03-01"
230000,578500,0,"1995-03-01"
230000,579000,0,"1995-03-01"
230000,579500,0,"1995-03-01"
230000,580000,0,"1995-03-01"
230000,580500,0,"1995-03-01"
230000,581000,0,"1995-03-01"
230000,581500,0,"1995-03-01"
230000,582000,0,"1995-03-01"
230000,582500,0,"1995-03-01"
230000,583000,0,"1995-03-01"
230000,583500,0,"1995-03-01"
