YYMMDD,TIME,LOCATION,LAT,LON,DEPTH,MAG,EVALMODE
19960616,25327.88,Geelbroek,52.947,6.568,3,1.7,manual
19960703,214007.16,Eexterveen,53.053,6.803,3,0.8,manual
19960804,4217.83,Wachtum,52.724,6.738,3,1.6,manual
19960806,133827.76,Emmen,52.755,6.917,3,1.6,manual
19960809,23145.71,Schipborg,53.057,6.688,3,0.3,manual
19960809,63847.14,Farmsum,53.287,6.958,3,1.6,manual
19960811,11016.25,Laar (Duitsland),52.601,6.782,3,0.7,manual
19960825,222411.14,Geelbroek,52.945,6.57,3,1.7,manual
19960902,52051.92,Roden,53.147,6.422,3,2.1,manual
19961016,50900.1,Amen,52.941,6.61,3,1.3,manual
19961116,33349.87,Zeerijp,53.355,6.755,3,1.3,manual
19961117,45952.05,Wachtum,52.724,6.732,3,2.2,manual
19961130,202657.95,Nietap,53.165,6.41,3,1,manual
19961206,164648,Roswinkel,52.835,7.053,1.5,1.6,manual
19961216,160115.16,Wildervank,53.072,6.815,3,0.5,manual
19961216,160650.21,Wildervank,53.078,6.822,3,-0.1,manual
19961226,195205.57,Overschild,53.261,6.765,3,-0.2,manual
19961228,5408.57,Bunne,53.107,6.505,3,1.9,manual
19961228,181656.58,Roswinkel,52.834,7.043,2,2.7,manual
19961228,233946.9,Bunne,53.111,6.502,3,1.8,manual
19970108,12054.49,Westeremden,53.338,6.713,3,1.5,manual
19970114,211340.62,Ekehaar,52.943,6.577,3,0.7,manual
19970116,1247.39,Roswinkel,52.835,7.046,2,2.4,manual
19970124,40004.54,Zuidlaren,53.079,6.678,3,0.6,manual
19970217,72055.23,Zijldijk,53.387,6.752,3,1.6,manual
19970217,111600.47,Geelbroek,52.947,6.568,3,1.2,manual
19970219,215350.81,Roswinkel,52.832,7.038,2,3.4,manual
19970226,193122.43,Laar (Duitsland),52.642,6.803,3,1.2,manual
19970302,152532.54,Pieterzijl,53.288,6.267,3,1.3,manual
19970308,142904.28,Borgercompagnie,53.106,6.815,3,-0.8,manual
19970325,1307.74,Overschild,53.252,6.748,3,-0.2,manual
19970401,3419.04,Emmen,52.768,6.873,3,1.4,manual
19970409,222143.97,Noordbroek,53.2,6.865,3,0.5,manual
19970417,202802.9,Roswinkel,52.834,7.053,2,0.8,manual
19970429,181646.34,Schildwolde,53.249,6.803,3,1.4,manual
19970504,24239.74,Meedhuizen,53.3,6.93,3,1.1,manual
19970504,42909.85,Hoogezand,53.144,6.737,3,0.8,manual
19970519,154359.09,Roswinkel,52.836,7.053,2,1.3,manual
19970606,193918.88,Tjuchem,53.292,6.875,3,1.2,manual
19970619,231925.56,Zeerijp,53.364,6.753,3,1.8,manual
19970620,4537.7,Roswinkel,52.831,7.055,2,1.8,manual
19970621,3033.08,Zuidlaarderveen,53.094,6.752,3.5,1.9,manual
19970709,62312.06,Roswinkel,52.833,7.053,2,1.2,manual
19970717,25629.71,Annen,53.061,6.717,3,-0.7,manual
19970723,64436.04,Overschild,53.247,6.753,3,1.2,manual
19970818,44228.77,Roswinkel,52.834,7.05,2,1.6,manual
19970818,51732.25,Roswinkel,52.834,7.05,2,2.1,manual
19970822,102708.85,Eexterveen,53.063,6.813,3,0.2,manual
19970823,156.53,Eexterveen,53.063,6.813,3,0.6,manual
19970823,193935.04,Lageland,53.239,6.683,3,1.6,manual
19970913,213041.02,Loppersum,53.338,6.747,3,1.1,manual
19970914,193902.59,Annen,53.045,6.74,3,0.4,manual
19971101,225625.87,Uithuizen,53.427,6.705,3,1.4,manual
19971103,181248.77,Donderen,53.108,6.513,3,1.4,manual
19971104,195501.94,Wirdum,53.328,6.793,3,1.7,manual
19971115,162232.14,Borgercompagnie,53.104,6.822,3,0.3,manual
19971120,173521.04,Slochteren,53.206,6.792,3,1.2,manual
19971126,23537.01,Overschild,53.254,6.765,3,0.2,manual
19971203,144719.71,Tjuchem,53.279,6.897,3,1.8,manual
19971203,150103.65,Siddeburen,53.244,6.858,3,1.3,manual
19971207,70244.49,Zuidlaren,53.075,6.702,3,0.3,manual
19971223,62132.11,Farmsum,53.316,7.015,3,1.3,manual
19980108,81145.26,Amen,52.937,6.597,3,1.2,manual
19980122,103155.15,Assen,52.984,6.547,3.5,1.1,manual
19980128,213303.84,Roswinkel,52.833,7.042,2,2.7,manual
19980128,223404.37,Roswinkel,52.833,7.037,2,2,manual
19980131,83939.26,Overschild,53.236,6.745,3,0.7,manual
19980205,211149.34,Meedhuizen,53.291,6.935,3,1.1,manual
19980215,72416.42,Zeerijp,53.356,6.773,3,2.6,manual
19980329,60640.52,Loppersum,53.345,6.73,3,1.3,manual
19980419,80012.08,Loppersum,53.339,6.723,3,1.5,manual
19980419,153235.72,Uithuizen,53.425,6.682,3,1.6,manual
19980428,20225.27,Veendam,53.107,6.865,3,0.4,manual
19980430,10841.72,Scharmer,53.197,6.707,3,0.9,manual
19980518,220342.46,Uithuizermeeden,53.404,6.732,3,1.3,manual
19980530,94315.14,Froombosch,53.203,6.777,3,0.9,manual
19980714,121202.23,Roswinkel,52.833,7.053,2,3.3,manual
19980814,192516.89,Froombosch,53.192,6.803,3,1.1,manual
19980824,42858,Wirdum,53.298,6.81,3,2.4,manual
19980905,203611.24,Emmen,52.742,6.875,3,1.9,manual
19981004,32832.97,Zeerijp,53.353,6.748,3,1,manual
19981020,213205,Deurze,52.974,6.607,3,0.8,manual
19981101,174829.5,Eleveld,52.955,6.572,3,1.3,manual
19981212,75139.52,Zandeweer,53.392,6.698,3,2,manual
19981226,234802.19,Schildwolde,53.215,6.83,3,1.6,manual
19990111,93541.53,Roswinkel,52.837,7.057,2,1.1,manual
19990113,193637.03,'t Zandt,53.359,6.777,3,2.1,manual
19990131,45300.59,Steendam,53.255,6.825,3,0.4,manual
19990305,190040.23,Kiel-Windeweer,53.101,6.792,3,1,manual
19990306,55639.96,Wirdum,53.325,6.778,3,1.6,manual
19990312,190642.97,Roswinkel,52.833,7.051,2,1.3,manual
19990317,231425.46,Roswinkel,52.832,7.052,2,1.5,manual
19990421,105956.44,Appingedam,53.312,6.84,3,1.4,manual
19990422,225802.9,Ureterp,53.111,6.152,3,1,manual
19990506,181356.32,Roswinkel,52.836,7.055,2,1.4,manual
19990508,204018.93,Stedum,53.325,6.7,3,1.6,manual
19990514,183020.73,Roswinkel,52.834,7.052,2,1.7,manual
19990515,192830.36,Roswinkel,52.834,7.052,2,1.4,manual
19990521,938.86,Sappemeer,53.164,6.815,3,0.7,manual
19990607,202031.38,Steenbergen,53.097,6.402,3,1.1,manual
19990707,90311.36,Grolloo,52.95,6.627,3,1.3,manual
19990810,232418.31,Startenhuizen,53.382,6.727,3,1.4,manual
19990811,11800.96,Westeremden,53.346,6.702,3,0.7,manual
19990907,171623.54,Nieuw Annerveen,53.068,6.795,3,1.5,manual
19990907,194751.09,Eexterveen,53.057,6.813,3,0.5,manual
19991018,185609.54,Zuidlaren,53.078,6.718,3,0.4,manual
19991018,185755.4,Schipborg,53.06,6.678,3,0.3,manual
19991022,131916.77,Ekehaar,52.941,6.592,3,1.7,manual
19991208,53928.47,Sappemeer,53.179,6.802,3,0.3,manual
19991209,93800.05,Schildwolde,53.246,6.803,3,1.1,manual
19991209,95212.96,Froombosch,53.183,6.798,3,1,manual
19991210,61332.01,Sappemeer,53.175,6.792,3,1.4,manual
19991220,122929.69,Westeremden,53.352,6.71,3,1.5,manual
19991221,45237.74,Froombosch,53.19,6.765,3,1,manual
19991224,235241.12,Farmsum,53.32,6.947,3,1.8,manual
19991231,110055.33,Roswinkel,52.835,7.048,2,2.8,manual
20000107,141906.76,Roswinkel,52.834,7.043,2,1.1,manual
20000110,41807.46,Schipborg,53.077,6.655,3,0.6,manual
20000212,194810.61,Appingedam,53.321,6.822,3.5,1.7,manual
20000319,161336.08,Westeremden,53.343,6.698,3,1.6,manual
20000327,102322.03,Roswinkel,52.835,7.045,2,0.8,manual
20000401,31351.38,Dalen,52.685,6.75,3,1.3,manual
20000408,110729.68,Groningen,53.205,6.632,3,1.2,manual
20000408,211317.8,Losdorp,53.37,6.845,3,1.1,manual
20000414,230747.79,Garrelsweer,53.308,6.772,3,1.2,manual
20000516,11114.73,Eppenhuizen,53.38,6.71,3,1.9,manual
20000609,170347.28,Wildervank,53.087,6.813,3,1.1,manual
20000611,41220.13,Zeerijp,53.348,6.763,3,2,manual
20000612,154823.01,Loppersum,53.34,6.742,3,2.5,manual
20000615,14224.95,Steendam,53.28,6.847,3,2.5,manual
20000706,230956.72,Zeerijp,53.34,6.752,3,1.2,manual
20000710,150549.12,Vries,53.064,6.575,3,1,manual
20000713,84152.43,Vries,53.079,6.565,3,1.1,manual
20000716,13412,'t Zandt,53.367,6.782,3,1.5,manual
20000922,170516.77,Wildervank,53.076,6.82,3,1,manual
20000922,205206.4,Nieuw Annerveen,53.082,6.793,3,2.2,manual
20000923,34747.43,Nieuw Annerveen,53.081,6.788,2.7,1,manual
20001025,181034.79,Roswinkel,52.832,7.052,2.3,3.2,manual
20001112,21636.27,Deurze,52.977,6.608,3,0.3,manual
20001129,160648.39,Laar (Duitsland),52.626,6.742,3,1.6,manual
20001223,52006.17,Borgercompagnie,53.108,6.812,3,0.4,manual
20001226,163357.64,Meedhuizen,53.294,6.91,3,1.4,manual
20010226,113907.31,Wildervank,53.072,6.822,3,0.8,manual
20010318,41420.68,Lageland,53.243,6.692,3,1.6,manual
20010428,100008.29,Geelbroek,52.948,6.567,3,1.5,manual
20010428,100055.51,Eleveld,52.959,6.575,3,1.1,manual
20010428,230015.88,Roswinkel,52.833,7.053,2,2.4,manual
20010517,74815.47,Haren,53.173,6.612,3,1.4,manual
20010610,33533.2,Annen,53.049,6.753,3,0.5,manual
20010619,64955.57,Wildervank,53.079,6.82,3,1,manual
