"","X","Datetime","Easting","Northing","Depth","Magnitude","Date","V","Year"
"64",122,"17/02/1997 07:20:55",245783,600953,3,1.6,"1997-02-17",8.52648588615108,1997
"65",127,"08/03/1997 14:29:04",250616,569803,3,-0.75,"1997-03-08",4.43314592140094,1997
"66",128,"25/03/1997 00:13:08",245847,585852,3,-0.18,"1997-03-25",4.88424802932435,1997
"67",130,"09/04/1997 22:21:44",253749,580311,3,0.47,"1997-04-09",8.69848339710792,1997
"68",132,"29/04/1997 18:16:46",249523,585644,3,1.4,"1997-04-29",6.40651170008612,1997
"69",133,"04/05/1997 02:42:40",257854,591512,3,1.09,"1997-05-04",15.9070760517065,1997
"70",134,"04/05/1997 04:29:10",245292,573894,3,0.79,"1997-05-04",5.90122521127018,1997
"71",136,"06/06/1997 19:39:19",254206,590581,3,1.22,"1997-06-06",13.2111611608268,1997
"72",137,"19/06/1997 23:19:26",245943,598358,3,1.83,"1997-06-19",7.61903943780887,1997
"73",142,"23/07/1997 06:44:36",246191,585320,3,1.22,"1997-07-23",4.43310820021773,1997
"74",147,"23/08/1997 19:39:35",241534,584381,3,1.63,"1997-08-23",4.88011793804845,1997
"75",148,"13/09/1997 21:30:41",245554,595475,3,1.08,"1997-09-13",7.01158865546983,1997
"76",150,"01/11/1997 22:56:26",242598,605291,3,1.36,"1997-11-01",9.76984594427628,1997
"77",152,"04/11/1997 19:55:02",248684,594404,3,1.65,"1997-11-04",10.2427551348614,1997
"78",153,"15/11/1997 16:22:32",251067,569553,3,0.31,"1997-11-15",4.77254542905713,1997
"79",154,"20/11/1997 17:35:21",248837,580881,3,1.15,"1997-11-20",3.75974308155656,1997
"80",155,"26/11/1997 02:35:37",246953,586188,3,0.17,"1997-11-26",5.4890620824585,1997
"81",156,"03/12/1997 14:47:20",255683,589072,3,1.78,"1997-12-03",13.3086889647811,1997
"82",157,"03/12/1997 15:01:04",253206,585125,3,1.31,"1997-12-03",9.10012348836882,1997
"83",159,"23/12/1997 06:21:32",263479,593454,3,1.25,"1997-12-23",13.41877682666,1997
"84",164,"31/01/1998 08:39:39",245656,584178,3,0.72,"1998-01-31",3.20188119361514,1998
"85",165,"05/02/1998 21:11:49",258211,590443,3,1.09,"1998-02-05",15.0038664030532,1998
"86",166,"15/02/1998 07:24:16",247292,597493,3,2.64,"1998-02-15",8.40451347333464,1998
"87",167,"29/03/1998 06:06:41",244430,596197,3,1.31,"1998-03-29",5.59768381402386,1998
"88",168,"19/04/1998 08:00:12",243998,595538,3,1.54,"1998-04-19",5.32068385533659,1998
"89",169,"19/04/1998 15:32:36",241051,605021,3,1.62,"1998-04-19",8.24954587556492,1998
"90",170,"28/04/1998 02:02:25",253962,569963,3,0.41,"1998-04-28",7.67203603998183,1998
"91",171,"30/04/1998 01:08:42",243178,579699,3,0.85,"1998-04-30",2.32061780497465,1998
"92",172,"18/05/1998 22:03:42",244418,602782,3,1.34,"1998-05-18",7.95208187366645,1998
"93",173,"30/05/1998 09:43:15",247841,580546,3,0.91,"1998-05-30",2.80267066176692,1998
"94",175,"14/08/1998 19:25:17",249647,579302,3,1.12,"1998-08-14",4.882251181395,1998
"95",176,"24/08/1998 04:28:58",249860,591087,3,2.44,"1998-08-24",11.136601822091,1998
"96",178,"04/10/1998 03:28:33",245633,597127,3,0.95,"1998-10-04",6.73456642303664,1998
"97",181,"12/12/1998 07:51:40",242225,601388,3,1.95,"1998-12-12",5.46076547000751,1998
"98",182,"26/12/1998 23:48:02",251379,581841,3,1.6,"1998-12-26",6.35106409545078,1998
"99",184,"13/01/1999 19:36:37",247507,597850,3,2.09385,"1999-01-13",8.64463999648748,1999
"100",185,"31/01/1999 04:53:01",250955,586341,3,0.440856,"1999-01-31",7.92075815846388,1999
"101",187,"06/03/1999 05:56:40",247691,594032,3,1.59725,"1999-03-06",9.2980826346195,1999
"102",190,"21/04/1999 10:59:56",251828,592703,3,1.37756,"1999-04-21",13.4844917931289,1999
"103",193,"08/05/1999 20:40:19",242472,593971,3,1.5614,"1999-05-08",4.57562987188444,1999
"104",196,"21/05/1999 00:09:39",250488,576257,3,0.68,"1999-05-21",7.21182853893105,1999
"105",199,"10/08/1999 23:24:18",244131,600328,3,1.39548,"1999-08-10",3.353291998997,1999
"106",200,"11/08/1999 01:18:01",242540,596329,3,0.711317,"1999-08-11",3.71329488998182,1999
"107",206,"08/12/1999 05:39:28",249564,577871,3,0.277648,"1999-12-08",5.48394742179335,1999
"108",207,"09/12/1999 09:38:00",249528,585366,3,1.12212,"1999-12-09",6.21279454697092,1999
"109",208,"09/12/1999 09:52:13",249332,578330,3,1.01378,"1999-12-09",5.03579669160702,1999
"110",209,"10/12/1999 06:13:32",248906,577339,3,1.40399,"1999-12-10",5.31491397908418,1999
"111",210,"20/12/1999 12:29:30",243082,597024,3,1.47239,"1999-12-20",3.01803727989252,1999
"112",211,"21/12/1999 04:52:38",247090,579029,3,0.984274,"1999-12-21",2.83493053973441,1999
"113",212,"24/12/1999 23:52:41",258918,593742,3,1.813,"1999-12-24",12.5092803975398,1999
"114",216,"12/02/2000 19:48:11",250587,593680,4,1.67242,"2000-02-12",5.86334037697574,2000
"115",217,"19/03/2000 16:13:36",242325,595953,3,1.56313,"2000-03-19",3.59972296342417,2000
"116",220,"08/04/2000 11:07:30",238150,580500,3,1.172,"2000-04-08",6.95025428595473,2000
"117",221,"08/04/2000 21:13:18",252030,599183,3,1.12338,"2000-04-08",4.67934332315437,2000
"118",222,"14/04/2000 23:07:48",247284,592132,3,1.21166,"2000-04-14",5.58362991925613,2000
"119",223,"16/05/2000 01:11:15",243024,600159,3,1.89411,"2000-05-16",3.9768125153948,2000
"120",225,"11/06/2000 04:12:20",246642,596609,3,2.03386,"2000-06-11",1.1355233530718,2000
"121",226,"12/06/2000 15:48:23",245217,595672,3,2.54594,"2000-06-12",2.07899951053305,2000
"122",227,"15/06/2000 01:42:25",252344,589188,3,2.45345,"2000-06-15",10.4885189905821,2000
"123",228,"06/07/2000 23:09:57",245883,595685,3,1.19329,"2000-07-06",1.89956768838884,2000
"124",231,"16/07/2000 01:34:12",247823,598691,3,1.54013,"2000-07-16",0.445833520869488,2000
"125",238,"23/12/2000 05:20:06",250389,569966,3,0.361494,"2000-12-23",4.29152328586592,2000
"126",239,"26/12/2000 16:33:58",256535,590834,3,1.37681,"2000-12-26",11.9950994570668,2000
"127",241,"18/03/2001 04:14:21",242081,584872,3,1.60503,"2001-03-18",4.87531361102985,2001
"128",245,"17/05/2001 07:48:15",236874,576952,3,1.41032,"2001-05-17",9.16281938671219,2001
"129",248,"21/06/2001 03:50:49",249199,590795,3,1.72869,"2001-06-21",7.47816657481896,2001
"130",253,"10/10/2001 14:06:43",246874,584480,3,0.988622,"2001-10-10",3.88998159694665,2001
"131",254,"10/10/2001 14:06:57",246873,584554,3,0.75,"2001-10-10",3.95533735229262,2001
"132",256,"04/12/2001 19:08:31",248396,580632,3,0.187508,"2001-12-04",3.33945697947495,2001
"133",257,"04/12/2001 19:08:38",248396,580632,3,-0.0122967,"2001-12-04",3.33945697947495,2001
"134",258,"04/12/2001 22:33:38",245600,581210,3,1.01853,"2001-12-04",0.550685350029732,2001
"135",259,"11/12/2001 15:17:18",248592,582027,3,0.706079,"2001-12-11",3.65109218278842,2001
"136",261,"25/12/2001 23:28:12",241106,601980,3,1.14013,"2001-12-25",5.39502316070215,2001
"137",263,"05/02/2002 10:30:40",243595,593323,3,2.21446,"2002-02-05",4.91128326742472,2002
"138",265,"27/02/2002 03:52:14",250884,595467,3,1.13795,"2002-02-27",4.69030740092825,2002
"139",268,"10/05/2002 10:33:49",252788,600107,3,1.66726,"2002-05-10",5.60811930977268,2002
"140",272,"18/07/2002 05:31:17",248320,578811,3,1.64111,"2002-07-18",3.9259656718649,2002
"141",275,"29/08/2002 21:13:23",245745,585330,3,0.00605395,"2002-08-29",4.35274795245358,2002
"142",277,"06/09/2002 06:07:05",252388,570489,3,0.597508,"2002-09-06",6.33303643291805,2002
"143",280,"12/10/2002 02:32:14",250616,569803,3,0.864466,"2002-10-12",4.43314592140094,2002
"144",284,"16/12/2002 12:23:39",244173,568029,3,1.37883,"2002-12-16",2.34322496911039,2002
"145",285,"17/12/2002 00:23:19",253209,590375,3,0.88199,"2002-12-17",10.0713626365716,2002
"146",286,"18/12/2002 20:31:09",252581,577504,3,0.770058,"2002-12-18",8.28756415124283,2002
"147",288,"01/01/2003 19:16:15",245333,595415,3,0.961148,"2003-01-01",3.78508650202286,2003
"148",290,"18/01/2003 18:12:43",247216,589848,3,1.04624,"2003-01-18",8.74740348991951,2003
"149",291,"23/01/2003 07:46:17",245952,592032,3,1.64813,"2003-01-23",6.7169881785028,2003
"150",292,"30/01/2003 01:27:30",248654,595943,3,1.5105,"2003-01-30",2.93756157675118,2003
"151",293,"31/01/2003 15:20:48",248113,583743,3,0.316422,"2003-01-31",4.07033855750563,2003
"152",295,"06/02/2003 19:25:25",247165,586748,3,0.321745,"2003-02-06",6.08779680015065,2003
"153",296,"11/02/2003 19:29:50",247299,597123,3,1.34859,"2003-02-11",1.47339911043391,2003
"154",297,"12/02/2003 06:22:20",250050,587121,3,0.803168,"2003-02-12",7.86257685855753,2003
