"","Datetime","Easting","Northing","Depth","Magnitude","Date"
"86","16/03/1996 04:16:33",252415,591157,3,1.36,"1996-03-16"
"87","21/03/1996 18:19:05",267322,539739,2,1.82,"1996-03-21"
"88","01/04/1996 18:53:45",237091,550966,3,0.62,"1996-04-01"
"89","01/04/1996 23:28:18",249026,565412,3,0.13,"1996-04-01"
"90","09/04/1996 13:58:34",249602,564552,3,1.1,"1996-04-09"
"91","15/04/1996 03:41:31",241766,589987,3,0.86,"1996-04-15"
"92","17/04/1996 19:05:12",254611,597807,3,0.93,"1996-04-17"
"93","21/04/1996 21:36:02",235381,599505,3,0.5,"1996-04-21"
"94","25/04/1996 23:22:20",253283,597612,3,0.88,"1996-04-25"
"95","07/06/1996 04:20:57",248318,567365,3,1.15,"1996-06-07"
"96","07/06/1996 08:34:07",247725,592269,3,1.29,"1996-06-07"
"97","07/06/1996 14:59:11",251785,567136,3,0.7,"1996-06-07"
"98","16/06/1996 02:53:28",234389,551720,3,1.65,"1996-06-16"
"99","03/07/1996 21:40:07",249952,563816,3,0.84,"1996-07-03"
"100","04/08/1996 00:42:18",246278,527182,3,1.61,"1996-08-04"
"101","06/08/1996 13:38:28",258251,530890,3,1.62,"1996-08-06"
"102","09/08/1996 02:31:46",242233,564154,3,0.28,"1996-08-09"
"103","09/08/1996 06:38:47",259776,590068,3,1.64,"1996-08-09"
"104","11/08/1996 01:10:16",249470,513516,3,0.65,"1996-08-11"
"105","25/08/1996 22:24:11",234504,551572,3,1.71,"1996-08-25"
"106","02/09/1996 05:20:52",224212,573823,3,2.1,"1996-09-02"
"107","16/10/1996 05:09:00",237200,551191,3,1.26,"1996-10-16"
"108","16/11/1996 03:33:50",246073,597377,3,1.32,"1996-11-16"
"109","17/11/1996 04:59:52",245828,527173,3,2.24,"1996-11-17"
"110","30/11/1996 20:26:58",223403,575870,3,1.04,"1996-11-30"
"111","06/12/1996 16:46:48",267263,539927,2,1.58,"1996-12-06"
"112","16/12/1996 16:01:15",250692,565945,3,0.53,"1996-12-16"
"113","16/12/1996 16:06:50",251126,566604,3,-0.06,"1996-12-16"
"114","26/12/1996 19:52:06",246938,586949,3,-0.17,"1996-12-26"
"115","28/12/1996 00:54:09",229856,569492,3,1.94,"1996-12-28"
"116","28/12/1996 18:16:57",266591,539845,2,2.74,"1996-12-28"
"117","28/12/1996 23:39:47",229627,569878,3,1.83,"1996-12-28"
"118","08/01/1997 01:20:54",243334,595415,3,1.5,"1997-01-08"
"119","14/01/1997 21:13:41",234956,551320,3,0.74,"1997-01-14"
"120","16/01/1997 00:12:47",266751,539927,2,2.42,"1997-01-16"
"121","24/01/1997 04:00:05",241518,566607,3,0.64,"1997-01-24"
"122","17/02/1997 07:20:55",245783,600953,3,1.6,"1997-02-17"
"123","17/02/1997 11:16:00",234388,551812,3,1.15,"1997-02-17"
"124","19/02/1997 21:53:51",266273,539615,2,3.35,"1997-02-19"
"125","26/02/1997 19:31:22",250849,518050,3,1.2,"1997-02-26"
"126","02/03/1997 15:25:33",213650,589432,3,1.3,"1997-03-02"
"127","08/03/1997 14:29:04",250616,569803,3,-0.75,"1997-03-08"
"128","25/03/1997 00:13:08",245847,585852,3,-0.18,"1997-03-25"
"129","01/04/1997 00:34:19",255297,532256,3,1.4,"1997-04-01"
"130","09/04/1997 22:21:44",253749,580311,3,0.47,"1997-04-09"
"131","17/04/1997 20:28:03",267252,539827,2,0.82,"1997-04-17"
"132","29/04/1997 18:16:46",249523,585644,3,1.4,"1997-04-29"
"133","04/05/1997 02:42:40",257854,591512,3,1.09,"1997-05-04"
"134","04/05/1997 04:29:10",245292,573894,3,0.79,"1997-05-04"
"135","19/05/1997 15:43:59",267270,540031,2,1.25,"1997-05-19"
"136","06/06/1997 19:39:19",254206,590581,3,1.22,"1997-06-06"
"137","19/06/1997 23:19:26",245943,598358,3,1.83,"1997-06-19"
"138","20/06/1997 00:45:38",267394,539533,2,1.84,"1997-06-20"
"139","21/06/1997 00:30:33",246401,568330,4,1.88,"1997-06-21"
"140","09/07/1997 06:23:12",267277,539716,2,1.2,"1997-07-09"
"141","17/07/1997 02:56:30",244125,564578,3,-0.717564,"1997-07-17"
"142","23/07/1997 06:44:36",246191,585320,3,1.22,"1997-07-23"
"143","18/08/1997 04:42:29",267049,539859,2,1.57,"1997-08-18"
"144","18/08/1997 05:17:32",267050,539841,2,2.07,"1997-08-18"
"145","22/08/1997 10:27:09",250599,564980,3,0.21,"1997-08-22"
"146","23/08/1997 00:01:57",250599,564980,3,0.55,"1997-08-23"
"147","23/08/1997 19:39:35",241534,584381,3,1.63,"1997-08-23"
"148","13/09/1997 21:30:41",245554,595475,3,1.08,"1997-09-13"
"149","14/09/1997 19:39:03",245721,562919,3,0.4,"1997-09-14"
"150","01/11/1997 22:56:26",242598,605291,3,1.36,"1997-11-01"
"151","03/11/1997 18:12:49",230412,569612,3,1.41,"1997-11-03"
"152","04/11/1997 19:55:02",248684,594404,3,1.65,"1997-11-04"
"153","15/11/1997 16:22:32",251067,569553,3,0.31,"1997-11-15"
"154","20/11/1997 17:35:21",248837,580881,3,1.15,"1997-11-20"
"155","26/11/1997 02:35:37",246953,586188,3,0.17,"1997-11-26"
"156","03/12/1997 14:47:20",255683,589072,3,1.78,"1997-12-03"
"157","03/12/1997 15:01:04",253206,585125,3,1.31,"1997-12-03"
"158","07/12/1997 07:02:44",243091,566135,3,0.33,"1997-12-07"
"159","23/12/1997 06:21:32",263479,593454,3,1.25,"1997-12-23"
"160","08/01/1998 08:11:45",236311,550694,3,1.2,"1998-01-08"
"161","22/01/1998 10:31:55",232866,555850,4,1.08,"1998-01-22"
"162","28/01/1998 21:33:04",266492,539661,2,2.68,"1998-01-28"
"163","28/01/1998 22:34:04",266154,539709,2,1.98,"1998-01-28"
"164","31/01/1998 08:39:39",245656,584178,3,0.72,"1998-01-31"
"165","05/02/1998 21:11:49",258211,590443,3,1.09,"1998-02-05"
"166","15/02/1998 07:24:16",247292,597493,3,2.64,"1998-02-15"
"167","29/03/1998 06:06:41",244430,596197,3,1.31,"1998-03-29"
"168","19/04/1998 08:00:12",243998,595538,3,1.54,"1998-04-19"
"169","19/04/1998 15:32:36",241051,605021,3,1.62,"1998-04-19"
"170","28/04/1998 02:02:25",253962,569963,3,0.41,"1998-04-28"
"171","30/04/1998 01:08:42",243178,579699,3,0.85,"1998-04-30"
"172","18/05/1998 22:03:42",244418,602782,3,1.34,"1998-05-18"
"173","30/05/1998 09:43:15",247841,580546,3,0.91,"1998-05-30"
"174","14/07/1998 12:12:02",267278,539660,2,3.26,"1998-07-14"
"175","14/08/1998 19:25:17",249647,579302,3,1.12,"1998-08-14"
"176","24/08/1998 04:28:58",249860,591087,3,2.44,"1998-08-24"
"177","05/09/1998 20:36:11",255469,529348,3,1.91,"1998-09-05"
"178","04/10/1998 03:28:33",245633,597127,3,0.95,"1998-10-04"
"179","20/10/1998 21:32:05",236914,554803,3,0.83,"1998-10-20"
"180","01/11/1998 17:48:29",234599,552594,3,1.3,"1998-11-01"
"181","12/12/1998 07:51:40",242225,601388,3,1.95,"1998-12-12"
"182","26/12/1998 23:48:02",251379,581841,3,1.6,"1998-12-26"
"183","11/01/1999 09:35:42",267514,540167,2,1.14287,"1999-01-11"
"184","13/01/1999 19:36:37",247507,597850,3,2.09385,"1999-01-13"
"185","31/01/1999 04:53:01",250955,586341,3,0.440856,"1999-01-31"
"186","05/03/1999 19:00:40",249064,569197,3,1.01076,"1999-03-05"
"187","06/03/1999 05:56:40",247691,594032,3,1.59725,"1999-03-06"
"188","12/03/1999 19:06:43",267154,539691,2,1.3,"1999-03-12"
"189","17/03/1999 23:14:25",267167,539602,2,1.5,"1999-03-17"
"190","21/04/1999 10:59:56",251828,592703,3,1.37756,"1999-04-21"
"191","22/04/1999 22:58:03",206190,569684,3,1.03928,"1999-04-22"
"192","06/05/1999 18:13:56",267383,540016,2,1.42,"1999-05-06"
"193","08/05/1999 20:40:19",242472,593971,3,1.5614,"1999-05-08"
"194","14/05/1999 18:30:21",267161,539861,2,1.7,"1999-05-14"
"195","15/05/1999 19:28:30",267161,539861,2,1.38,"1999-05-15"
"196","21/05/1999 00:09:39",250488,576257,3,0.68,"1999-05-21"
"197","07/06/1999 20:20:31",222952,568314,3,1.05,"1999-06-07"
"198","07/07/1999 09:03:11",238303,552193,3,1.29609,"1999-07-07"
"199","10/08/1999 23:24:18",244131,600328,3,1.39548,"1999-08-10"
"200","11/08/1999 01:18:01",242540,596329,3,0.711317,"1999-08-11"
"201","07/09/1999 17:16:24",249360,565511,3,1.52918,"1999-09-07"
"202","07/09/1999 19:47:51",250613,564312,3,0.46539,"1999-09-07"
"203","18/10/1999 18:56:10",244202,566452,3,0.411483,"1999-10-18"
"204","18/10/1999 18:57:55",241556,564512,3,0.305067,"1999-10-18"
"205","22/10/1999 13:19:17",235968,551115,3,1.70723,"1999-10-22"
"206","08/12/1999 05:39:28",249564,577871,3,0.277648,"1999-12-08"
"207","09/12/1999 09:38:00",249528,585366,3,1.12212,"1999-12-09"
"208","09/12/1999 09:52:13",249332,578330,3,1.01378,"1999-12-09"
"209","10/12/1999 06:13:32",248906,577339,3,1.40399,"1999-12-10"
"210","20/12/1999 12:29:30",243082,597024,3,1.47239,"1999-12-20"
"211","21/12/1999 04:52:38",247090,579029,3,0.984274,"1999-12-21"
"212","24/12/1999 23:52:41",258918,593742,3,1.813,"1999-12-24"
"213","31/12/1999 11:00:55",266935,539950,2,2.80362,"1999-12-31"
"214","07/01/2000 14:19:07",266600,539831,2,1.1,"2000-01-07"
"215","10/01/2000 04:18:07",239959,566320,3,0.6049,"2000-01-10"
"216","12/02/2000 19:48:11",250587,593680,4,1.67242,"2000-02-12"
"217","19/03/2000 16:13:36",242325,595953,3,1.56313,"2000-03-19"
"218","27/03/2000 10:23:22",266710,539944,2,0.8,"2000-03-27"
"219","01/04/2000 03:13:51",247149,522784,3,1.29924,"2000-04-01"
"220","08/04/2000 11:07:30",238150,580500,3,1.172,"2000-04-08"
"221","08/04/2000 21:13:18",252030,599183,3,1.12338,"2000-04-08"
"222","14/04/2000 23:07:48",247284,592132,3,1.21166,"2000-04-14"
"223","16/05/2000 01:11:15",243024,600159,3,1.89411,"2000-05-16"
"224","09/06/2000 17:03:47",250547,567612,3,1.07197,"2000-06-09"
"225","11/06/2000 04:12:20",246642,596609,3,2.03386,"2000-06-11"
"226","12/06/2000 15:48:23",245217,595672,3,2.54594,"2000-06-12"
"227","15/06/2000 01:42:25",252344,589188,3,2.45345,"2000-06-15"
"228","06/07/2000 23:09:57",245883,595685,3,1.19329,"2000-07-06"
"229","10/07/2000 15:05:49",234622,564819,3,1.04322,"2000-07-10"
"230","13/07/2000 08:41:52",233925,566422,3,1.11618,"2000-07-13"
