#Network , Station , Location , Channel , Latitude , Longitude , Elevation , Depth , Azimuth , Dip , SensorDescription , Scale , ScaleFreq , ScaleUnits , SampleRate , StartTime , EndTime
NL,HGN,2,UHN,50.764,5.9317,135,4,0,0,STS-1,3882250000,1,M/S,0.01,29/10/2014 00:00,31/12/2599 23:59
NL,HGN,2,UHZ,50.764,5.9317,135,4,0,-90,STS-1,3912450000,1,M/S,0.01,29/10/2014 00:00,31/12/2599 23:59
NL,HGN,2,VCO,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,6.66667,0,V,0.1,29/10/2014 00:00,31/12/2599 23:59
NL,HGN,2,VEA,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,1000,0,A,0.1,29/10/2014 00:00,31/12/2599 23:59
NL,HGN,2,VEC,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,1000,0,A,0.1,29/10/2014 00:00,31/12/2599 23:59
NL,HGN,2,VEP,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,6.66667,0,V,0.1,29/10/2014 00:00,31/12/2599 23:59
NL,HGN,2,VFP,50.764,5.9317,135,0,0,0,Synthetic State of Health (SOH),1,0.01,COUNTS,0.1,29/10/2014 00:00,31/12/2599 23:59
NL,HGN,2,VHE,50.764,5.9317,135,4,90,0,STS-1,3848690000,1,M/S,0.1,29/10/2014 00:00,31/12/2599 23:59
NL,HGN,2,VHN,50.764,5.9317,135,4,0,0,STS-1,3882250000,1,M/S,0.1,29/10/2014 00:00,31/12/2599 23:59
NL,HGN,2,VHZ,50.764,5.9317,135,4,0,-90,STS-1,3912450000,1,M/S,0.1,29/10/2014 00:00,31/12/2599 23:59
NL,HGN,2,VKI,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,1,0,CELSIUS,0.1,29/10/2014 00:00,31/12/2599 23:59
NL,HGN,2,VMU,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,10,0,V,0.1,29/10/2014 00:00,31/12/2599 23:59
NL,HGN,2,VMV,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,10,0,V,0.1,29/10/2014 00:00,31/12/2599 23:59
NL,HGN,2,VMW,50.764,5.9317,135,0,0,0,Quanterra 330 Linear Phase Composite w/baler SOH c,10,0,V,0.1,29/10/2014 00:00,31/12/2599 23:59
NL,0171,,BLE,51.03544,5.86908,35,0,90,0,STS-2,629145000,1,M/S,40,27/01/2006 00:00,25/11/2011 00:00
NL,0171,,BLN,51.03544,5.86908,35,0,0,0,STS-2,629145000,1,M/S,40,27/01/2006 00:00,25/11/2011 00:00
NL,0171,,BLZ,51.03544,5.86908,35,0,0,-90,STS-2,629145000,1,M/S,40,27/01/2006 00:00,25/11/2011 00:00
NL,1979,,BHE,50.9708,5.9268,80,0,90,0,STS-2,629145000,1,M/S,40,10/03/2009 00:00,28/11/2014 00:00
NL,1979,,BHN,50.9708,5.9268,80,0,0,0,STS-2,629145000,1,M/S,40,10/03/2009 00:00,28/11/2014 00:00
NL,1979,,BHZ,50.9708,5.9268,80,0,0,-90,STS-2,629145000,1,M/S,40,10/03/2009 00:00,28/11/2014 00:00
NL,1980,,BHE,50.8,5.9727,154,0,90,0,STS-2,629145000,1,M/S,40,10/03/2009 00:00,17/04/2015 00:00
NL,1980,,BHN,50.8,5.9727,154,0,0,0,STS-2,629145000,1,M/S,40,10/03/2009 00:00,17/04/2015 00:00
NL,1980,,BHZ,50.8,5.9727,154,0,0,-90,STS-2,629145000,1,M/S,40,10/03/2009 00:00,17/04/2015 00:00
NL,1982,,BHE,50.86939,6.08469,145,0,90,0,STS-2,629145000,1,M/S,40,10/12/2007 00:00,17/04/2015 00:00
NL,1982,,BHN,50.86939,6.08469,145,0,0,0,STS-2,629145000,1,M/S,40,10/12/2007 00:00,17/04/2015 00:00
