NL,TER,Terziet,50.7568,5.9061,150,03/06/2019,broadband
NL,HG,Heimansgroeve,50.764,5.9317,135,06/06/2001,broadband
NL,MAM,Mamelis,50.8,5.9727,154,16/04/2015,broadband
NL,VK,Valkenburg,50.8669,5.7847,90,01/06/2011,broadband
NL,ROL,Rolduc,50.8694,6.0847,145,16/04/2015,broadband
NL,BING,Bingelrade,50.9708,5.9268,80,27/11/2014,broadband
NL,GUR1,Neeritter n,51.1687,5.7846,30,27/01/2006,broadband
NL,HRKB,Herkenbosch,51.1879,6.1678,0,08/06/2018,broadband
NL,ARCN,Arcen,51.5013,6.1942,0,23/05/2018,broadband
NL,OPL,Oploo,51.5888,5.8121,0,03/09/1998,broadband
NL,STR,Strijen,51.7437,4.5573,0,15/10/2020,accelerometer
NL,KLWL,Klaaswaal,51.7755,4.4406,0,15/10/2020,accelerometer
NL,ZH04,Spijkenisse,51.8417,4.3626,6,05/01/2021,borehole
NL,VPR,Rotterdam,51.8915,4.3715,4,15/10/2020,accelerometer
NL,ZH01,Vlaardingen,51.9137,4.2881,-2,14/12/2018,borehole
NL,WTS,Winterswijk,51.9663,6.7989,43,21/02/2000,broadband
NL,ZH06,Naaldwijk,51.9781,4.2204,1,06/04/2020,borehole
NL,ZH03,Delfgauw,51.9783,4.4001,-3,06/04/2020,borehole
NL,NLDW,Naaldwijk,52.005,4.1957,1,06/04/2021,accelerometer
NL,ZH02,Zoetermeer,52.0744,4.4884,-4,28/05/2020,borehole
NL,DB,De Bilt,52.1017,5.1767,3,25/11/1997,broadband
NL,ZH07,Den Haag,52.1037,4.2946,1,22/04/2022,borehole
NL,T06,Weerselo,52.3432,6.9097,2,04/02/2016,borehole
NL,T05,Agelo,52.3806,6.9057,2,08/12/2015,borehole
NL,T08,Denekamp,52.3893,6.9965,2,07/04/2016,borehole
NL,T03,Mander,52.4297,6.7918,2,08/12/2015,borehole
NL,T04,Hezingen,52.4375,6.8904,2,13/01/2016,borehole
NL,T02,Breklenkamp,52.4634,6.9787,2,13/01/2016,borehole
NL,T014,Langeveen,52.4643,6.7401,18,08/12/2015,borehole
NL,PMR,Purmerend,52.5116,5.0106,-3,25/03/2022,accelerometer
NL,VBG,Venebrugge,52.544,6.6693,11,28/04/1995,borehole
NL,NH01,Oosthuizen,52.5657,4.9965,-2,16/12/2019,borehole
NL,HRDB,Hardenberg,52.577,6.6259,9,14/04/2020,accelerometer
NL,LUTT,Lutten,52.6133,6.5715,9,14/04/2020,accelerometer
NL,OTL,Oterleek,52.6289,4.8227,1,21/04/1995,borehole
NL,OLK,Oterleek,52.6293,4.8495,-3,17/05/2022,accelerometer
NL,COE2,Coevorden,52.6328,6.7057,9,09/03/2020,accelerometer
NL,ALK1,Alkmaar,52.6338,4.7444,1,19/11/2019,accelerometer
NL,BER2,Bergen - Groeneweg,52.6478,4.715,-1,25/07/2019,accelerometer
NL,ALK2,Alkmaar,52.651,4.7234,-1,24/07/2019,accelerometer
NL,PPB,Philisteinsche Polder,52.6526,4.67,1,09/07/1995,borehole
NL,COE4,Coevorden,52.6598,6.7451,11,26/06/2020,accelerometer
NL,COE,Coevorden,52.6606,6.7836,10,28/05/2019,accelerometer
NL,BER1,Bergen - Nesdijk,52.6614,4.7037,1,18/11/2019,accelerometer
NL,L2082,Schoonebeek,52.6684,6.9187,13,02/03/2018,borehole
NL,L208,Schoonebeek,52.6695,6.9186,13,02/03/2018,borehole
NL,L2083,Schoonebeek,52.6699,6.917,13,02/03/2018,borehole
NL,L2081,Schoonebeek,52.67,6.92,13,02/03/2018,borehole
NL,COE3,Coevorden,52.6704,6.6525,10,28/08/2020,accelerometer
NL,SNB,Schoonebeek,52.6842,6.8719,14,03/12/2021,accelerometer
NL,DR02,Hollandscheveld,52.7034,6.5081,11,20/06/2019,borehole
NL,WMH,Warmenhuizen,52.7096,4.7498,-1,21/04/1995,borehole
NL,J02,Andijk,52.7255,5.1948,-5,01/09/2018,broadband
NL,OOTH,Oosterhesselen,52.7295,6.7534,13,03/12/2021,accelerometer
NL,L2073,Nieuw-Dordrecht,52.7557,6.9738,21,06/06/2018,borehole
NL,L207,Nieuw-Dordrecht,52.7567,6.9738,22,06/06/2018,borehole
NL,L2071,Nieuw-Dordrecht,52.7572,6.9753,22,06/06/2018,borehole
NL,L2072,Nieuw-Dordrecht,52.7573,6.9724,22,06/06/2018,borehole
NL,J01,Middenmeer,52.765,5.0546,-5,01/06/2014,broadband
NL,PET,Petten,52.7706,4.6595,6,24/07/2019,accelerometer
NL,DR01,Kallenkote,52.7987,6.1785,2,25/06/2018,borehole
NL,L2061,t Haantje,52.8094,6.8247,18,02/03/2018,borehole
NL,L2063,t Haantje,52.8097,6.8218,18,02/03/2018,borehole
NL,L206,t Haantje,52.81,6.8234,17,02/03/2018,borehole
NL,L2062,t Haantje,52.8111,6.8237,17,02/03/2018,borehole
NL,WSVN,Wapserveen,52.8204,6.1983,3,23/11/2020,accelerometer
NL,DBLS,De Blesse,52.8391,6.0497,2,17/09/2020,accelerometer
NL,BRSW,Roswinkel,52.8423,7.0323,12,28/02/2019,accelerometer
NL,FDKD,Frederiksoord,52.8483,6.1788,6,10/11/2020,accelerometer
NL,SL01,Anna Paulowna,52.8551,4.8683,2,12/05/2017,borehole
NL,FR02,Oldetrijne,52.8559,5.9304,-1,14/06/2019,borehole
NL,VLD,Vledder,52.8668,6.2157,8,10/11/2020,accelerometer
NL,L1062,Valthermond,52.8739,6.9829,10,06/07/2018,borehole
