"","X.1","X","Station","Channel","Latitude","Longitude","StartTime","EndTime","Xcoord","Ycoord","Channel3","Start_Year","End_Year"
"42",168,"NL","BZN1","HGE",53.36567,6.77512,"2013-10-24T00:00:00","2017-01-01T00:00:00",247389.306,598590.4013,"E","2013","2017"
"43",169,"NL","BZN1","HGE",53.36567,6.77512,"2017-01-01T00:00:00","2017-12-15T09:03:00",247389.306,598590.4013,"E","2017","2017"
"44",170,"NL","BZN1","HGE",53.36567,6.77512,"2017-12-15T09:03:00","2019-03-02T00:00:00",247389.306,598590.4013,"E","2017","2019"
"45",177,"NL","BZN2","HGE",53.35683,6.75474,"2013-09-23T00:00:00","2020-06-01T00:00:00",246051.4828,597580.6998,"E","2013","2020"
"46",180,"NL","CHA1","HHE",51.5043,4.9212,"2011-07-03T00:00:00","2018-05-25T00:00:00",122645.6832,390690.3308,"E","2011","2018"
"47",183,"NL","CHA2","HHE",51.5043,4.9212,"2011-07-03T00:00:00","2018-05-25T00:00:00",122645.6832,390690.3308,"E","2011","2018"
"48",186,"NL","CHA3","HHE",51.5043,4.9212,"2011-07-03T00:00:00","2018-05-25T00:00:00",122645.6832,390690.3308,"E","2011","2018"
"49",189,"NL","CHA4","HHE",51.5043,4.9212,"2011-07-03T00:00:00","2018-05-25T00:00:00",122645.6832,390690.3308,"E","2011","2018"
"50",192,"NL","CHA5","HHE",51.5043,4.9212,"2011-07-03T00:00:00","2018-05-25T00:00:00",122645.6832,390690.3308,"E","2011","2018"
"51",230,"NL","DBN","BHE",52.1017,5.1767,"1997-11-25T00:00:00","2018-06-30T23:59:00",140577.1344,457071.562,"E","1997","2018"
"52",233,"NL","DBN","BHE",52.1017,5.1767,"2018-07-01T00:00:00","2599-12-31T23:59:59",140577.1344,457071.562,"E","2018","2599"
"53",236,"NL","DBN","HHE",52.1017,5.1767,"2018-07-01T00:00:00","2599-12-31T23:59:59",140577.1344,457071.562,"E","2018","2599"
"54",239,"NL","DBN","LCE",52.1017,5.1767,"2018-07-01T00:00:00","2599-12-31T23:59:59",140577.1344,457071.562,"E","2018","2599"
"55",241,"NL","DBN","LHE",52.1017,5.1767,"2018-07-01T00:00:00","2599-12-31T23:59:59",140577.1344,457071.562,"E","2018","2599"
"56",337,"NL","ENM1","HHE",53.4064,6.4817,"1995-04-12T00:00:00","2010-01-22T00:00:00",227789.4307,602786.1875,"E","1995","2010"
"57",340,"NL","ENM1","HHE",53.4064,6.4817,"2010-01-22T00:00:00","2016-05-04T09:00:00",227789.4307,602786.1875,"E","2010","2016"
"58",343,"NL","ENM1","HHE",53.4064,6.4817,"2016-05-04T09:00:00","2599-12-31T23:59:59",227789.4307,602786.1875,"E","2016","2599"
"59",346,"NL","ENM2","HHE",53.4064,6.4817,"1995-04-12T00:00:00","2010-01-22T00:00:00",227789.4307,602786.1875,"E","1995","2010"
"60",349,"NL","ENM2","HHE",53.4064,6.4817,"2010-01-22T00:00:00","2016-05-04T09:00:00",227789.4307,602786.1875,"E","2010","2016"
"61",352,"NL","ENM2","HHE",53.4064,6.4817,"2016-05-04T09:00:00","2599-12-31T23:59:59",227789.4307,602786.1875,"E","2016","2599"
"62",355,"NL","ENM3","HHE",53.4064,6.4817,"1995-04-12T00:00:00","2010-01-22T00:00:00",227789.4307,602786.1875,"E","1995","2010"
"63",358,"NL","ENM3","HHE",53.4064,6.4817,"2010-01-22T00:00:00","2016-05-04T09:00:00",227789.4307,602786.1875,"E","2010","2016"
"64",361,"NL","ENM3","HHE",53.4064,6.4817,"2016-05-04T09:00:00","2599-12-31T23:59:59",227789.4307,602786.1875,"E","2016","2599"
"65",364,"NL","ENM4","HHE",53.4064,6.4817,"1995-04-12T00:00:00","2010-01-22T00:00:00",227789.4307,602786.1875,"E","1995","2010"
"66",367,"NL","ENM4","HHE",53.4064,6.4817,"2010-01-22T00:00:00","2016-05-04T09:00:00",227789.4307,602786.1875,"E","2010","2016"
"67",370,"NL","ENM4","HHE",53.4064,6.4817,"2016-05-04T09:00:00","2599-12-31T23:59:59",227789.4307,602786.1875,"E","2016","2599"
"68",373,"NL","ENV1","HHE",52.8944,6.6337,"1995-09-09T00:00:00","2009-12-04T00:00:00",238883.1957,545977.4262,"E","1995","2009"
"69",376,"NL","ENV1","HHE",52.8944,6.6337,"2009-12-04T00:00:00","2016-06-16T07:00:00",238883.1957,545977.4262,"E","2009","2016"
"70",379,"NL","ENV1","HHE",52.8944,6.6337,"2016-06-16T07:00:00","2599-12-31T23:59:59",238883.1957,545977.4262,"E","2016","2599"
"71",382,"NL","ENV2","HHE",52.8944,6.6337,"1995-09-09T00:00:00","2009-12-04T00:00:00",238883.1957,545977.4262,"E","1995","2009"
"72",385,"NL","ENV2","HHE",52.8944,6.6337,"2009-12-04T00:00:00","2016-06-16T07:00:00",238883.1957,545977.4262,"E","2009","2016"
"73",388,"NL","ENV2","HHE",52.8944,6.6337,"2016-06-16T07:00:00","2599-12-31T23:59:59",238883.1957,545977.4262,"E","2016","2599"
"74",391,"NL","ENV3","HHE",52.8944,6.6337,"1995-09-09T00:00:00","2009-12-04T00:00:00",238883.1957,545977.4262,"E","1995","2009"
"75",394,"NL","ENV3","HHE",52.8944,6.6337,"2009-12-04T00:00:00","2016-06-16T07:00:00",238883.1957,545977.4262,"E","2009","2016"
"76",397,"NL","ENV3","HHE",52.8944,6.6337,"2016-06-16T07:00:00","2599-12-31T23:59:59",238883.1957,545977.4262,"E","2016","2599"
"77",400,"NL","ENV4","HHE",52.8944,6.6337,"1995-09-09T00:00:00","2009-12-04T00:00:00",238883.1957,545977.4262,"E","1995","2009"
"78",403,"NL","ENV4","HHE",52.8944,6.6337,"2009-12-04T00:00:00","2016-06-16T07:00:00",238883.1957,545977.4262,"E","2009","2016"
