Num,Place,Date,Time_UT,Magnitude,Depth,Easting,Northing,Field,Province
66,Groningen,04/05/1997,04:29:09,0.8,3.00,245314.42,573875.26,Groningen,Groningen
67,Groningen,06/06/1997,19:39:18,1.2,3.00,254206.87,590525.48,Groningen,Groningen
68,Groningen,19/06/1997,23:19:25,1.8,3.00,245920.50,598376.40,Groningen,Groningen
69,Groningen,23/07/1997,06:44:36,1.2,3.00,246167.56,585356.75,Groningen,Groningen
70,Groningen,23/08/1997,19:39:35,1.6,3.00,241511.40,584380.17,Groningen,Groningen
71,Groningen,13/09/1997,21:30:41,1.1,3.00,245575.79,595475.53,Groningen,Groningen
72,Groningen,01/11/1997,22:56:25,1.4,3.00,242596.97,605327.67,Groningen,Groningen
73,Groningen,04/11/1997,19:55:01,1.7,3.00,248661.32,594421.61,Groningen,Groningen
74,Groningen,20/11/1997,17:35:21,1.2,3.00,248859.60,580844.55,Groningen,Groningen
75,Groningen,26/11/1997,02:35:37,0.2,3.00,246953.59,586150.95,Groningen,Groningen
76,Groningen,03/12/1997,14:47:19,1.8,3.00,255704.03,589109.45,Groningen,Groningen
77,Groningen,03/12/1997,15:01:03,1.3,3.00,253182.53,585160.97,Groningen,Groningen
78,Groningen,31/01/1998,08:39:39,0.7,3.00,245656.68,584122.61,Groningen,Groningen
79,Groningen,05/02/1998,21:11:49,1.1,3.00,258209.67,590498.56,Groningen,Groningen
80,Groningen,15/02/1998,07:24:16,2.6,3.00,247268.93,597511.61,Groningen,Groningen
81,Groningen,29/03/1998,06:06:40,1.3,3.00,244428.98,596233.23,Groningen,Groningen
82,Groningen,19/04/1998,08:00:12,1.5,3.00,243975.22,595556.87,Groningen,Groningen
83,Groningen,19/04/1998,15:32:35,1.6,3.00,241072.23,605077.33,Groningen,Groningen
84,Groningen,30/04/1998,01:08:41,0.9,3.00,243199.24,579735.65,Groningen,Groningen
85,Groningen,18/05/1998,22:03:42,1.3,3.00,244439.44,602801.36,Groningen,Groningen
86,Groningen,30/05/1998,09:43:15,0.9,3.00,247863.93,580491.28,Groningen,Groningen
87,Groningen,14/08/1998,19:25:16,1.1,3.00,249625.11,579301.10,Groningen,Groningen
88,Groningen,24/08/1998,04:28:58,2.4,3.00,249859.84,591105.53,Groningen,Groningen
89,Groningen,04/10/1998,03:28:32,1.0,3.00,245610.83,597146.00,Groningen,Groningen
90,Groningen,12/12/1998,07:51:39,2.0,3.00,242202.68,601424.22,Groningen,Groningen
91,Groningen,26/12/1998,23:48:02,1.6,3.00,251378.23,581896.20,Groningen,Groningen
92,Groningen,13/01/1999,19:36:37,2.1,3.00,247528.78,597850.59,Groningen,Groningen
93,Groningen,31/01/1999,04:53:00,0.4,3.00,250955.39,586340.51,Groningen,Groningen
94,Groningen,06/03/1999,05:56:39,1.6,3.00,247668.48,594068.36,Groningen,Groningen
95,Groningen,21/04/1999,10:59:56,1.4,3.00,251828.36,592703.36,Groningen,Groningen
96,Groningen,08/05/1999,20:40:18,1.6,3.00,242471.76,593970.74,Groningen,Groningen
97,Groningen,21/05/1999,00:09:38,0.7,3.00,250488.82,576201.29,Groningen,Groningen
98,Groningen,10/08/1999,23:24:18,1.4,3.00,244152.53,600346.93,Groningen,Groningen
99,Groningen,11/08/1999,01:18:00,0.7,3.00,242562.32,596310.08,Groningen,Groningen
100,Groningen,08/12/1999,05:39:28,0.3,3.00,249586.69,577853.23,Groningen,Groningen
101,Groningen,09/12/1999,09:38:00,1.1,3.00,249506.98,585309.94,Groningen,Groningen
102,Groningen,09/12/1999,09:52:12,1.0,3.00,249310.58,578293.08,Groningen,Groningen
103,Groningen,10/12/1999,06:13:32,1.4,3.00,248926.88,577395.05,Groningen,Groningen
104,Groningen,20/12/1999,12:29:29,1.5,3.00,243082.78,596987.53,Groningen,Groningen
105,Groningen,21/12/1999,04:52:37,1.0,3.00,247089.84,579029.31,Groningen,Groningen
106,Groningen,24/12/1999,23:52:41,1.8,3.00,258939.83,593742.80,Groningen,Groningen
107,Groningen,12/02/2000,19:48:10,1.7,3.50,250608.81,593680.79,Groningen,Groningen
108,Groningen,19/03/2000,16:13:36,1.6,3.00,242302.03,595971.38,Groningen,Groningen
109,Groningen,08/04/2000,11:07:29,1.2,3.00,238172.11,580536.65,Groningen,Groningen
110,Groningen,08/04/2000,21:13:17,1.1,3.00,252030.82,599164.24,Groningen,Groningen
111,Groningen,14/04/2000,23:07:47,1.2,3.00,247305.14,592168.91,Groningen,Groningen
112,Groningen,16/05/2000,01:11:14,1.9,3.00,243025.49,600103.44,Groningen,Groningen
113,Groningen,11/06/2000,04:12:20,2.0,3.00,246620.19,596608.59,Groningen,Groningen
114,Groningen,12/06/2000,15:48:23,2.5,3.00,245238.58,595691.81,Groningen,Groningen
115,Groningen,15/06/2000,01:42:24,2.5,3.00,252367.08,589151.94,Groningen,Groningen
116,Groningen,06/07/2000,23:09:56,1.2,3.00,245904.59,595704.39,Groningen,Groningen
117,Groningen,16/07/2000,01:34:12,1.5,3.00,247844.38,598747.27,Groningen,Groningen
118,Groningen,26/12/2000,16:33:57,1.4,3.00,256535.74,590796.83,Groningen,Groningen
119,Groningen,18/03/2001,04:14:20,1.6,3.00,242104.16,584836.14,Groningen,Groningen
120,Groningen,21/06/2001,03:50:49,1.7,3.00,249199.74,590758.56,Groningen,Groningen
121,Groningen,10/10/2001,14:06:43,1.0,3.00,246852.02,584479.25,Groningen,Groningen
122,Groningen,10/10/2001,14:06:57,0.8,3.00,246849.89,584590.52,Groningen,Groningen
123,Groningen,04/12/2001,19:08:31,0.2,3.00,248396.27,580612.90,Groningen,Groningen
124,Groningen,04/12/2001,19:08:37,0.0,3.00,248396.27,580612.90,Groningen,Groningen
125,Groningen,04/12/2001,22:33:37,1.0,3.00,245577.62,581226.91,Groningen,Groningen
126,Groningen,11/12/2001,15:17:17,0.7,3.00,248568.57,582063.37,Groningen,Groningen
