X,Y,topo_gradients_smoothed
228500.00,594000.00,3.187558e-02
228500.00,594500.00,3.304660e-02
228500.00,595000.00,3.423711e-02
228500.00,595500.00,3.538565e-02
228500.00,596000.00,3.642740e-02
228500.00,596500.00,3.729966e-02
228500.00,597000.00,3.795066e-02
228500.00,597500.00,3.834442e-02
228500.00,598000.00,3.846260e-02
228500.00,598500.00,3.830726e-02
228500.00,599000.00,3.789810e-02
228500.00,599500.00,3.726957e-02
228500.00,600000.00,3.646520e-02
228500.00,600500.00,3.553620e-02
228500.00,601000.00,3.453193e-02
228500.00,601500.00,3.349866e-02
228500.00,602000.00,3.247616e-02
228500.00,602500.00,3.149600e-02
228500.00,603000.00,3.058044e-02
228500.00,603500.00,2.974156e-02
228500.00,604000.00,2.898311e-02
228500.00,604500.00,2.829720e-02
228500.00,605000.00,2.766841e-02
228500.00,605500.00,2.707414e-02
228500.00,606000.00,2.648626e-02
228500.00,606500.00,2.587402e-02
228500.00,607000.00,2.520705e-02
228500.00,607500.00,2.445746e-02
228500.00,608000.00,2.360524e-02
228500.00,608500.00,2.263511e-02
228500.00,609000.00,2.154299e-02
228500.00,609500.00,2.033328e-02
228500.00,610000.00,1.901811e-02
228500.00,610500.00,1.761789e-02
228500.00,611000.00,1.615957e-02
228500.00,611500.00,1.467411e-02
228500.00,612000.00,1.319847e-02
228500.00,612500.00,1.177217e-02
228500.00,613000.00,1.043693e-02
228500.00,613500.00,9.237003e-03
228500.00,614000.00,8.213974e-03
228500.00,614500.00,7.408631e-03
228500.00,615000.00,6.851406e-03
228500.00,615500.00,6.566744e-03
229000.00,566500.00,7.291205e-04
229000.00,567000.00,7.818278e-04
229000.00,567500.00,8.850865e-04
229000.00,568000.00,1.034854e-03
229000.00,568500.00,1.224429e-03
229000.00,569000.00,1.445128e-03
229000.00,569500.00,1.686232e-03
229000.00,570000.00,1.935643e-03
229000.00,570500.00,2.180505e-03
229000.00,571000.00,2.407902e-03
229000.00,571500.00,2.606249e-03
229000.00,572000.00,2.766364e-03
229000.00,572500.00,2.882435e-03
229000.00,573000.00,2.952214e-03
229000.00,573500.00,2.977682e-03
229000.00,574000.00,2.964182e-03
229000.00,574500.00,2.920176e-03
229000.00,575000.00,2.855916e-03
229000.00,575500.00,2.782191e-03
229000.00,576000.00,2.709008e-03
229000.00,576500.00,2.646037e-03
229000.00,577000.00,2.598868e-03
229000.00,577500.00,2.570866e-03
229000.00,578000.00,2.563825e-03
229000.00,578500.00,2.578343e-03
229000.00,579000.00,2.615354e-03
229000.00,579500.00,2.677305e-03
229000.00,580000.00,2.770574e-03
229000.00,580500.00,2.904178e-03
229000.00,581000.00,3.094392e-03
229000.00,581500.00,3.362624e-03
229000.00,582000.00,3.734998e-03
229000.00,582500.00,4.241036e-03
229000.00,583000.00,4.910457e-03
229000.00,583500.00,5.769344e-03
229000.00,584000.00,6.837604e-03
229000.00,584500.00,8.121458e-03
229000.00,585000.00,9.614157e-03
229000.00,585500.00,1.129084e-02
229000.00,586000.00,1.310923e-02
229000.00,586500.00,1.501341e-02
229000.00,587000.00,1.693726e-02
229000.00,587500.00,1.881197e-02
229000.00,588000.00,2.057406e-02
229000.00,588500.00,2.217225e-02
229000.00,589000.00,2.357556e-02
229000.00,589500.00,2.477581e-02
229000.00,590000.00,2.578785e-02
229000.00,590500.00,2.664871e-02
229000.00,591000.00,2.740802e-02
229000.00,591500.00,2.812552e-02
229000.00,592000.00,2.885825e-02
229000.00,592500.00,2.965362e-02
229000.00,593000.00,3.054327e-02
229000.00,593500.00,3.153765e-02
229000.00,594000.00,3.262542e-02
229000.00,594500.00,3.377366e-02
229000.00,595000.00,3.493358e-02
229000.00,595500.00,3.604508e-02
229000.00,596000.00,3.704548e-02
229000.00,596500.00,3.787473e-02
229000.00,597000.00,3.848401e-02
229000.00,597500.00,3.884035e-02
229000.00,598000.00,3.892812e-02
229000.00,598500.00,3.875173e-02
229000.00,599000.00,3.833264e-02
229000.00,599500.00,3.770649e-02
229000.00,600000.00,3.691741e-02
229000.00,600500.00,3.601652e-02
229000.00,601000.00,3.505261e-02
229000.00,601500.00,3.407086e-02
229000.00,602000.00,3.310948e-02
229000.00,602500.00,3.219789e-02
229000.00,603000.00,3.135585e-02
229000.00,603500.00,3.059254e-02
229000.00,604000.00,2.990856e-02
229000.00,604500.00,2.929297e-02
229000.00,605000.00,2.872742e-02
229000.00,605500.00,2.818678e-02
229000.00,606000.00,2.764103e-02
229000.00,606500.00,2.705823e-02
229000.00,607000.00,2.640754e-02
229000.00,607500.00,2.566128e-02
229000.00,608000.00,2.480017e-02
229000.00,608500.00,2.381004e-02
229000.00,609000.00,2.268799e-02
229000.00,609500.00,2.143970e-02
229000.00,610000.00,2.007849e-02
229000.00,610500.00,1.862590e-02
229000.00,611000.00,1.711004e-02
229000.00,611500.00,1.556318e-02
229000.00,612000.00,1.402385e-02
229000.00,612500.00,1.253352e-02
229000.00,613000.00,1.113618e-02
229000.00,613500.00,9.878666e-03
229000.00,614000.00,8.805269e-03
229000.00,614500.00,7.959389e-03
229000.00,615000.00,7.373754e-03
229000.00,615500.00,7.074453e-03
229500.00,566500.00,8.809937e-04
229500.00,567000.00,9.446837e-04
229500.00,567500.00,1.069503e-03
229500.00,568000.00,1.250642e-03
229500.00,568500.00,1.480163e-03
229500.00,569000.00,1.747742e-03
229500.00,569500.00,2.040637e-03
229500.00,570000.00,2.344457e-03
229500.00,570500.00,2.643877e-03
229500.00,571000.00,2.923469e-03
229500.00,571500.00,3.169336e-03
229500.00,572000.00,3.370363e-03
229500.00,572500.00,3.519383e-03
229500.00,573000.00,3.613413e-03
229500.00,573500.00,3.654486e-03
229500.00,574000.00,3.648614e-03
229500.00,574500.00,3.605563e-03
229500.00,575000.00,3.537299e-03
229500.00,575500.00,3.456533e-03
229500.00,576000.00,3.375145e-03
229500.00,576500.00,3.304390e-03
229500.00,577000.00,3.251212e-03
229500.00,577500.00,3.219740e-03
229500.00,578000.00,3.212082e-03
229500.00,578500.00,3.228677e-03
229500.00,579000.00,3.270058e-03
229500.00,579500.00,3.338073e-03
229500.00,580000.00,3.438516e-03
229500.00,580500.00,3.580118e-03
229500.00,581000.00,3.778898e-03
229500.00,581500.00,4.056309e-03
229500.00,582000.00,4.438738e-03
229500.00,582500.00,4.956045e-03
229500.00,583000.00,5.638302e-03
229500.00,583500.00,6.511841e-03
229500.00,584000.00,7.596704e-03
229500.00,584500.00,8.899038e-03
229500.00,585000.00,1.041179e-02
229500.00,585500.00,1.210972e-02
229500.00,586000.00,1.395006e-02
229500.00,586500.00,1.587642e-02
229500.00,587000.00,1.782227e-02
229500.00,587500.00,1.971860e-02
229500.00,588000.00,2.150182e-02
229500.00,588500.00,2.312077e-02
229500.00,589000.00,2.454464e-02
229500.00,589500.00,2.576541e-02
229500.00,590000.00,2.679796e-02
229500.00,590500.00,2.767895e-02
229500.00,591000.00,2.845728e-02
229500.00,591500.00,2.919129e-02
229500.00,592000.00,2.993632e-02
229500.00,592500.00,3.073769e-02
229500.00,593000.00,3.162496e-02
229500.00,593500.00,3.260673e-02
229500.00,594000.00,3.367056e-02
229500.00,594500.00,3.478336e-02
229500.00,595000.00,3.589736e-02
229500.00,595500.00,3.695459e-02
229500.00,596000.00,3.789551e-02
229500.00,596500.00,3.866399e-02
229500.00,597000.00,3.921539e-02
229500.00,597500.00,3.952098e-02
229500.00,598000.00,3.956894e-02
229500.00,598500.00,3.936680e-02
229500.00,599000.00,3.893833e-02
229500.00,599500.00,3.832062e-02
229500.00,600000.00,3.755836e-02
229500.00,600500.00,3.670230e-02
229500.00,601000.00,3.580012e-02
229500.00,601500.00,3.489525e-02
229500.00,602000.00,3.402344e-02
229500.00,602500.00,3.321102e-02
229500.00,603000.00,3.247412e-02
229500.00,603500.00,3.181789e-02
229500.00,604000.00,3.123856e-02
229500.00,604500.00,3.072108e-02
229500.00,605000.00,3.024319e-02
