"","X.Network","Station","Location","Channel","Latitude","Longitude","Elevation","Depth","Azimuth","Dip","SensorDescription","Scale","ScaleFreq","ScaleUnits","SampleRate","StartTime","EndTime","Xcoord","Ycoord"
"31","NL","HGN",2,"HHE",50.764,5.9317,135,4,90,0,"STS-1",3848690000,1,"M/S",100,"23/10/2009 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"32","NL","HGN",2,"HHN",50.764,5.9317,135,4,0,0,"STS-1",3882250000,1,"M/S",100,"23/10/2009 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"33","NL","HGN",2,"HHZ",50.764,5.9317,135,4,0,-90,"STS-1",3912450000,1,"M/S",100,"23/10/2009 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"34","NL","HGN",2,"LCE",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",1e+06,0,"S",1,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"35","NL","HGN",2,"LCQ",50.764,5.9317,135,0,0,0,"Quanterra 330 Linear Phase Composite w/baler SOH c",1,0,"PERCENT",1,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"36","NL","HGN",2,"LHE",50.764,5.9317,135,4,90,0,"STS-1",3848690000,1,"M/S",1,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"37","NL","HGN",2,"LHN",50.764,5.9317,135,4,0,0,"STS-1",3882250000,1,"M/S",1,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"38","NL","HGN",2,"LHZ",50.764,5.9317,135,4,0,-90,"STS-1",3912450000,1,"M/S",1,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"39","NL","HGN",2,"UHE",50.764,5.9317,135,4,90,0,"STS-1",3848690000,1,"M/S",0.01,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
"40","NL","HGN",2,"UHN",50.764,5.9317,135,4,0,0,"STS-1",3882250000,1,"M/S",0.01,"29/10/2014 00:00","31/12/2599 23:59",193418.301390849,308371.377625001
