,X.Network,Station,Channel,Latitude,Longitude,Elevation,Depth,StartTime,EndTime,Xcoord,Ycoord,Start_date,End_date
54,NL,171,BLE,51.03544,5.86908,35,0,27/01/2006 00:00,25/11/2011 00:00,188801.1584,338537.6149,27/01/2006,25/11/2011
55,NL,171,BLN,51.03544,5.86908,35,0,27/01/2006 00:00,25/11/2011 00:00,188801.1584,338537.6149,27/01/2006,25/11/2011
56,NL,171,BLZ,51.03544,5.86908,35,0,27/01/2006 00:00,25/11/2011 00:00,188801.1584,338537.6149,27/01/2006,25/11/2011
57,NL,1979,BHE,50.9708,5.9268,80,0,10/03/2009 00:00,28/11/2014 00:00,192902.9179,331374.8651,10/03/2009,28/11/2014
58,NL,1979,BHN,50.9708,5.9268,80,0,10/03/2009 00:00,28/11/2014 00:00,192902.9179,331374.8651,10/03/2009,28/11/2014
59,NL,1979,BHZ,50.9708,5.9268,80,0,10/03/2009 00:00,28/11/2014 00:00,192902.9179,331374.8651,10/03/2009,28/11/2014
60,NL,1980,BHE,50.8,5.9727,154,0,10/03/2009 00:00,17/04/2015 00:00,196279.0636,312398.6162,10/03/2009,17/04/2015
61,NL,1980,BHN,50.8,5.9727,154,0,10/03/2009 00:00,17/04/2015 00:00,196279.0636,312398.6162,10/03/2009,17/04/2015
62,NL,1980,BHZ,50.8,5.9727,154,0,10/03/2009 00:00,17/04/2015 00:00,196279.0636,312398.6162,10/03/2009,17/04/2015
63,NL,1982,BHE,50.86939,6.08469,145,0,10/12/2007 00:00,17/04/2015 00:00,204100.8776,320187.1955,10/12/2007,17/04/2015
64,NL,1982,BHN,50.86939,6.08469,145,0,10/12/2007 00:00,17/04/2015 00:00,204100.8776,320187.1955,10/12/2007,17/04/2015
65,NL,1982,BHZ,50.86939,6.08469,145,0,10/12/2007 00:00,17/04/2015 00:00,204100.8776,320187.1955,10/12/2007,17/04/2015
68,NL,ALK1,HGZ,52.633821,4.744356,1,0,19/11/2019 00:00,31/12/2599 23:59,111480.1663,516450.4242,19/11/2019,31/12/2599
66,NL,ALK1,HG1,52.633821,4.744356,1,0,19/11/2019 00:00,31/12/2599 23:59,111480.1663,516450.4242,19/11/2019,31/12/2599
67,NL,ALK1,HG2,52.633821,4.744356,1,0,19/11/2019 00:00,31/12/2599 23:59,111480.1663,516450.4242,19/11/2019,31/12/2599
71,NL,ALK2,HGZ,52.65104,4.723407,-1,0,24/07/2019 00:00,31/12/2599 23:59,110079.5639,518379.1614,24/07/2019,31/12/2599
69,NL,ALK2,HG1,52.65104,4.723407,-1,0,24/07/2019 00:00,31/12/2599 23:59,110079.5639,518379.1614,24/07/2019,31/12/2599
70,NL,ALK2,HG2,52.65104,4.723407,-1,0,24/07/2019 00:00,31/12/2599 23:59,110079.5639,518379.1614,24/07/2019,31/12/2599
74,NL,ANDK,HGZ,52.747514,5.216375,-1.8,0,12/05/2023 00:00,31/12/2599 23:59,143464.8381,528921.6591,12/05/2023,31/12/2599
72,NL,ANDK,HG1,52.747514,5.216375,-1.8,0,12/05/2023 00:00,31/12/2599 23:59,143464.8381,528921.6591,12/05/2023,31/12/2599
73,NL,ANDK,HG2,52.747514,5.216375,-1.8,0,12/05/2023 00:00,31/12/2599 23:59,143464.8381,528921.6591,12/05/2023,31/12/2599
75,NL,ARCN,BHE,51.5013,6.1942,0,0,23/05/2018 00:00,31/12/2599 23:59,211032.8539,390563.569,23/05/2018,31/12/2599
76,NL,ARCN,BHN,51.5013,6.1942,0,0,23/05/2018 00:00,31/12/2599 23:59,211032.8539,390563.569,23/05/2018,31/12/2599
77,NL,ARCN,BHZ,51.5013,6.1942,0,0,23/05/2018 00:00,31/12/2599 23:59,211032.8539,390563.569,23/05/2018,31/12/2599
80,NL,ASS1,HGZ,52.977799,6.557414,9.5,0,14/04/2020 00:00,31/12/2599 23:59,233599.3342,555171.2852,14/04/2020,31/12/2599
78,NL,ASS1,HG1,52.977799,6.557414,9.5,0,14/04/2020 00:00,31/12/2599 23:59,233599.3342,555171.2852,14/04/2020,31/12/2599
79,NL,ASS1,HG2,52.977799,6.557414,9.5,0,14/04/2020 00:00,31/12/2599 23:59,233599.3342,555171.2852,14/04/2020,31/12/2599
83,NL,ASS2,HGZ,53.01428,6.570557,12,0,24/04/2020 00:00,31/12/2599 23:59,234415.4552,559244.9854,24/04/2020,31/12/2599
81,NL,ASS2,HG1,53.01428,6.570557,12,0,24/04/2020 00:00,31/12/2599 23:59,234415.4552,559244.9854,24/04/2020,31/12/2599
82,NL,ASS2,HG2,53.01428,6.570557,12,0,24/04/2020 00:00,31/12/2599 23:59,234415.4552,559244.9854,24/04/2020,31/12/2599
86,NL,BAPP,HGE,53.31482,6.83539,0,0,07/10/2013 00:00,31/12/2599 23:59,251514.8103,593010.9562,07/10/2013,31/12/2599
90,NL,BAPP,LCE,53.31482,6.83539,0,0,07/10/2013 00:00,31/12/2599 23:59,251514.8103,593010.9562,07/10/2013,31/12/2599
87,NL,BAPP,HGN,53.31482,6.83539,0,0,07/10/2013 00:00,31/12/2599 23:59,251514.8103,593010.9562,07/10/2013,31/12/2599
88,NL,BAPP,HGZ,53.31482,6.83539,0,0,07/10/2013 00:00,31/12/2599 23:59,251514.8103,593010.9562,07/10/2013,31/12/2599
95,NL,BBER,HGE,52.661427,4.7045,2,0,04/12/2017 00:00,21/05/2019 00:00,108811.0289,519546.8165,04/12/2017,21/05/2019
96,NL,BBER,HGN,52.661427,4.7045,2,0,04/12/2017 00:00,21/05/2019 00:00,108811.0289,519546.8165,04/12/2017,21/05/2019
97,NL,BBER,HGZ,52.661427,4.7045,2,0,04/12/2017 00:00,21/05/2019 00:00,108811.0289,519546.8165,04/12/2017,21/05/2019
100,NL,BER1,HGZ,52.661396,4.703678,1,0,18/11/2019 00:00,31/12/2599 23:59,108755.3844,519543.8925,18/11/2019,31/12/2599
98,NL,BER1,HG1,52.661396,4.703678,1,0,18/11/2019 00:00,31/12/2599 23:59,108755.3844,519543.8925,18/11/2019,31/12/2599
99,NL,BER1,HG2,52.661396,4.703678,1,0,18/11/2019 00:00,31/12/2599 23:59,108755.3844,519543.8925,18/11/2019,31/12/2599
103,NL,BER2,HGZ,52.6478,4.714988,-1,0,25/07/2019 00:00,31/12/2599 23:59,109506.4958,518023.9137,25/07/2019,31/12/2599
101,NL,BER2,HG1,52.6478,4.714988,-1,0,25/07/2019 00:00,31/12/2599 23:59,109506.4958,518023.9137,25/07/2019,31/12/2599
102,NL,BER2,HG2,52.6478,4.714988,-1,0,25/07/2019 00:00,31/12/2599 23:59,109506.4958,518023.9137,25/07/2019,31/12/2599
104,NL,BFB2,HGE,53.18751,6.76549,1,0,17/09/2014 00:00,31/12/2599 23:59,247127.8895,578752.8488,17/09/2014,31/12/2599
105,NL,BFB2,HGN,53.18751,6.76549,1,0,17/09/2014 00:00,31/12/2599 23:59,247127.8895,578752.8488,17/09/2014,31/12/2599
106,NL,BFB2,HGZ,53.18751,6.76549,1,0,17/09/2014 00:00,31/12/2599 23:59,247127.8895,578752.8488,17/09/2014,31/12/2599
107,NL,BGAR,HGE,53.36786,6.71359,1,0,17/09/2014 00:00,01/01/2017 00:00,243289.2751,598756.8534,17/09/2014,01/01/2017
108,NL,BGAR,HGE,53.36786,6.71359,1,0,01/01/2017 00:00,15/12/2017 09:01,243289.2751,598756.8534,01/01/2017,15/12/2017
109,NL,BGAR,HGE,53.36786,6.71359,1,0,15/12/2017 09:01,31/12/2599 23:59,243289.2751,598756.8534,15/12/2017,31/12/2599
110,NL,BGAR,HGN,53.36786,6.71359,1,0,17/09/2014 00:00,01/01/2017 00:00,243289.2751,598756.8534,17/09/2014,01/01/2017
111,NL,BGAR,HGN,53.36786,6.71359,1,0,01/01/2017 00:00,15/12/2017 09:01,243289.2751,598756.8534,01/01/2017,15/12/2017
112,NL,BGAR,HGN,53.36786,6.71359,1,0,15/12/2017 09:01,31/12/2599 23:59,243289.2751,598756.8534,15/12/2017,31/12/2599
113,NL,BGAR,HGZ,53.36786,6.71359,1,0,17/09/2014 00:00,01/01/2017 00:00,243289.2751,598756.8534,17/09/2014,01/01/2017
114,NL,BGAR,HGZ,53.36786,6.71359,1,0,01/01/2017 00:00,15/12/2017 09:01,243289.2751,598756.8534,01/01/2017,15/12/2017
115,NL,BGAR,HGZ,53.36786,6.71359,1,0,15/12/2017 09:01,31/12/2599 23:59,243289.2751,598756.8534,15/12/2017,31/12/2599
116,NL,BHAR,HGE,53.22916,6.70898,1,0,17/09/2014 00:00,22/01/2022 00:00,243265.8689,583316.7192,17/09/2014,22/01/2022
117,NL,BHAR,HGN,53.22916,6.70898,1,0,17/09/2014 00:00,22/01/2022 00:00,243265.8689,583316.7192,17/09/2014,22/01/2022
118,NL,BHAR,HGZ,53.22916,6.70898,1,0,17/09/2014 00:00,22/01/2022 00:00,243265.8689,583316.7192,17/09/2014,22/01/2022
119,NL,BHKS,HGE,53.29195,6.78502,1,0,17/09/2014 00:00,31/12/2599 23:59,248207.606,590399.6553,17/09/2014,31/12/2599
120,NL,BHKS,HGN,53.29195,6.78502,1,0,17/09/2014 00:00,31/12/2599 23:59,248207.606,590399.6553,17/09/2014,31/12/2599
121,NL,BHKS,HGZ,53.29195,6.78502,1,0,17/09/2014 00:00,31/12/2599 23:59,248207.606,590399.6553,17/09/2014,31/12/2599
122,NL,BING,BHE,50.9708,5.9268,80,0,27/11/2014 00:00,31/12/2599 23:59,192902.9179,331374.8651,27/11/2014,31/12/2599
123,NL,BING,BHN,50.9708,5.9268,80,0,27/11/2014 00:00,31/12/2599 23:59,192902.9179,331374.8651,27/11/2014,31/12/2599
124,NL,BING,BHZ,50.9708,5.9268,80,0,27/11/2014 00:00,31/12/2599 23:59,192902.9179,331374.8651,27/11/2014,31/12/2599
125,NL,BKMZ,HGE,53.290115,6.318887,2,0,08/12/2015 00:00,31/12/2599 23:59,217129.5439,589692.5309,08/12/2015,31/12/2599
126,NL,BKMZ,HGN,53.290115,6.318887,2,0,08/12/2015 00:00,31/12/2599 23:59,217129.5439,589692.5309,08/12/2015,31/12/2599
127,NL,BKMZ,HGZ,53.290115,6.318887,2,0,08/12/2015 00:00,31/12/2599 23:59,217129.5439,589692.5309,08/12/2015,31/12/2599
130,NL,BLIJE,HGZ,53.360325,5.84921,1.2,0,18/02/2021 00:00,31/12/2599 23:59,185759.1642,597203.1599,18/02/2021,31/12/2599
128,NL,BLIJE,HG1,53.360325,5.84921,1.2,0,18/02/2021 00:00,31/12/2599 23:59,185759.1642,597203.1599,18/02/2021,31/12/2599
129,NL,BLIJE,HG2,53.360325,5.84921,1.2,0,18/02/2021 00:00,31/12/2599 23:59,185759.1642,597203.1599,18/02/2021,31/12/2599
131,NL,BLOP,HGE,53.33391,6.74663,1,0,23/09/2013 00:00,31/12/2599 23:59,245559.7439,595019.9156,23/09/2013,31/12/2599
132,NL,BLOP,HGN,53.33391,6.74663,1,0,23/09/2013 00:00,31/12/2599 23:59,245559.7439,595019.9156,23/09/2013,31/12/2599
133,NL,BLOP,HGZ,53.33391,6.74663,1,0,23/09/2013 00:00,31/12/2599 23:59,245559.7439,595019.9156,23/09/2013,31/12/2599
134,NL,BMD1,HGE,53.34726,6.64225,2,0,11/09/2013 00:00,11/03/2014 05:16,238580.939,596379.2337,11/09/2013,11/03/2014
135,NL,BMD1,HGN,53.34726,6.64225,2,0,11/09/2013 00:00,11/03/2014 05:16,238580.939,596379.2337,11/09/2013,11/03/2014
136,NL,BMD1,HGZ,53.34726,6.64225,2,0,11/09/2013 00:00,11/03/2014 05:16,238580.939,596379.2337,11/09/2013,11/03/2014
137,NL,BMD2,HGE,53.35325,6.6472,0,0,10/09/2013 00:00,05/12/2019 14:10,238898.8933,597051.5785,10/09/2013,05/12/2019
138,NL,BMD2,HGE,53.35325,6.6472,0,0,05/12/2019 14:10,31/12/2599 23:59,238898.8933,597051.5785,05/12/2019,31/12/2599
139,NL,BMD2,HGN,53.35325,6.6472,0,0,10/09/2013 00:00,05/12/2019 14:10,238898.8933,597051.5785,10/09/2013,05/12/2019
140,NL,BMD2,HGN,53.35325,6.6472,0,0,05/12/2019 14:10,31/12/2599 23:59,238898.8933,597051.5785,05/12/2019,31/12/2599
141,NL,BMD2,HGZ,53.35325,6.6472,0,0,10/09/2013 00:00,05/12/2019 14:10,238898.8933,597051.5785,10/09/2013,05/12/2019
142,NL,BMD2,HGZ,53.35325,6.6472,0,0,05/12/2019 14:10,31/12/2599 23:59,238898.8933,597051.5785,05/12/2019,31/12/2599
3473,NL,BNHLT,BHE,50.791068,5.814136,186,0,16/03/2023 00:00,31/12/2599 23:59,185105.87,311327.6363,16/03/2023,31/12/2599
3476,NL,BNHLT,HHE,50.791068,5.814136,186,0,16/03/2023 00:00,31/12/2599 23:59,185105.87,311327.6363,16/03/2023,31/12/2599
3474,NL,BNHLT,BHN,50.791068,5.814136,186,0,16/03/2023 00:00,31/12/2599 23:59,185105.87,311327.6363,16/03/2023,31/12/2599
3477,NL,BNHLT,HHN,50.791068,5.814136,186,0,16/03/2023 00:00,31/12/2599 23:59,185105.87,311327.6363,16/03/2023,31/12/2599
3475,NL,BNHLT,BHZ,50.791068,5.814136,186,0,16/03/2023 00:00,31/12/2599 23:59,185105.87,311327.6363,16/03/2023,31/12/2599
3478,NL,BNHLT,HHZ,50.791068,5.814136,186,0,16/03/2023 00:00,31/12/2599 23:59,185105.87,311327.6363,16/03/2023,31/12/2599
3489,NL,BNHLT,BHZ,50.791068,5.814136,186,200,22/09/2023 00:00,31/12/2599 23:59,185105.87,311327.6363,22/09/2023,31/12/2599
3492,NL,BNHLT,HHZ,50.791068,5.814136,186,200,22/09/2023 00:00,31/12/2599 23:59,185105.87,311327.6363,22/09/2023,31/12/2599
143,NL,BONL,HGE,53.40014,6.75483,1,0,19/09/2013 00:00,23/08/2015 00:00,245965.8504,602400.4268,19/09/2013,23/08/2015
144,NL,BONL,HGN,53.40014,6.75483,1,0,19/09/2013 00:00,23/08/2015 00:00,245965.8504,602400.4268,19/09/2013,23/08/2015
145,NL,BONL,HGZ,53.40014,6.75483,1,0,19/09/2013 00:00,23/08/2015 00:00,245965.8504,602400.4268,19/09/2013,23/08/2015
146,NL,BOWW,HGE,53.34053,6.8125,1,0,01/10/2013 00:00,31/12/2599 23:59,249932.7742,595841.4772,01/10/2013,31/12/2599
