#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime

#DATACENTER=IRISDMC,http://ds.iris.edu
NL|HGN|01|BHE|50.764|5.9317|135.0|4.0|90.0|0.0|STS-1|9.37454E8|1.0|M/S|40.0|2003-10-24T00:00:00|2009-04-27T23:59:59
NL|HGN|01|BHN|50.764|5.9317|135.0|4.0|0.0|0.0|STS-1|9.60668E8|1.0|M/S|40.0|2003-10-24T00:00:00|2009-04-27T23:59:59
NL|HGN|01|BHZ|50.764|5.9317|135.0|4.0|0.0|-90.0|STS-1|9.50215E8|1.0|M/S|40.0|2003-10-24T00:00:00|2009-04-27T23:59:59
NL|HGN|02|AX0|50.764|5.9317|135.0|0.0|0.0|0.0|Quanterra 330HR Linear Phase Below 100 Composite|3.2875|0.0|A|1.0|2014-10-29T00:00:00|2599-12-31T23:59:59
NL|HGN|02|AX1|50.764|5.9317|135.0|0.0|0.0|0.0|Quanterra 330HR Linear Phase Below 100 Composite|3.2875|0.0|A|1.0|2014-10-29T00:00:00|2599-12-31T23:59:59
NL|HGN|02|AX2|50.764|5.9317|135.0|0.0|0.0|0.0|Quanterra 330HR Linear Phase Below 100 Composite|3.2875|0.0|A|1.0|2014-10-29T00:00:00|2599-12-31T23:59:59
NL|HGN|02|AX3|50.764|5.9317|135.0|0.0|0.0|0.0|Quanterra 330HR Linear Phase Below 100 Composite|3.2875|0.0|A|1.0|2014-10-29T00:00:00|2599-12-31T23:59:59
NL|HGN|02|BHE|50.764|5.9317|135.0|4.0|90.0|0.0|STS-1|3.84869E9|1.0|M/S|40.0|2009-04-27T00:00:00|2599-12-31T23:59:59
NL|HGN|02|BHN|50.764|5.9317|135.0|4.0|0.0|0.0|STS-1|3.88225E9|1.0|M/S|40.0|2009-04-27T00:00:00|2599-12-31T23:59:59
NL|HGN|02|BHZ|50.764|5.9317|135.0|4.0|0.0|-90.0|STS-1|3.91245E9|1.0|M/S|40.0|2009-04-27T00:00:00|2599-12-31T23:59:59
NL|HGN|02|HHE|50.764|5.9317|135.0|4.0|90.0|0.0|STS-1|3.84869E9|1.0|M/S|100.0|2009-10-23T00:00:00|2599-12-31T23:59:59
NL|HGN|02|HHN|50.764|5.9317|135.0|4.0|0.0|0.0|STS-1|3.88225E9|1.0|M/S|100.0|2009-10-23T00:00:00|2599-12-31T23:59:59
NL|HGN|02|HHZ|50.764|5.9317|135.0|4.0|0.0|-90.0|STS-1|3.91245E9|1.0|M/S|100.0|2009-10-23T00:00:00|2599-12-31T23:59:59
