"","X.Network","Station","Channel","Latitude","Longitude","Elevation","Depth","StartTime","EndTime","Xcoord","Ycoord","Start_date","End_date"
"103","NL","BER2","HGZ",52.6478,4.714988,-1,0,"25/07/2019 00:00","31/12/2599 23:59",109506.4958,518023.9137,2019-07-25,2599-12-31
"101","NL","BER2","HG1",52.6478,4.714988,-1,0,"25/07/2019 00:00","31/12/2599 23:59",109506.4958,518023.9137,2019-07-25,2599-12-31
"102","NL","BER2","HG2",52.6478,4.714988,-1,0,"25/07/2019 00:00","31/12/2599 23:59",109506.4958,518023.9137,2019-07-25,2599-12-31
"104","NL","BFB2","HGE",53.18751,6.76549,1,0,"17/09/2014 00:00","31/12/2599 23:59",247127.8895,578752.8488,2014-09-17,2599-12-31
"105","NL","BFB2","HGN",53.18751,6.76549,1,0,"17/09/2014 00:00","31/12/2599 23:59",247127.8895,578752.8488,2014-09-17,2599-12-31
"106","NL","BFB2","HGZ",53.18751,6.76549,1,0,"17/09/2014 00:00","31/12/2599 23:59",247127.8895,578752.8488,2014-09-17,2599-12-31
"107","NL","BGAR","HGE",53.36786,6.71359,1,0,"17/09/2014 00:00","01/01/2017 00:00",243289.2751,598756.8534,2014-09-17,2017-01-01
"108","NL","BGAR","HGE",53.36786,6.71359,1,0,"01/01/2017 00:00","15/12/2017 09:01",243289.2751,598756.8534,2017-01-01,2017-12-15
"109","NL","BGAR","HGE",53.36786,6.71359,1,0,"15/12/2017 09:01","31/12/2599 23:59",243289.2751,598756.8534,2017-12-15,2599-12-31
"110","NL","BGAR","HGN",53.36786,6.71359,1,0,"17/09/2014 00:00","01/01/2017 00:00",243289.2751,598756.8534,2014-09-17,2017-01-01
"111","NL","BGAR","HGN",53.36786,6.71359,1,0,"01/01/2017 00:00","15/12/2017 09:01",243289.2751,598756.8534,2017-01-01,2017-12-15
"112","NL","BGAR","HGN",53.36786,6.71359,1,0,"15/12/2017 09:01","31/12/2599 23:59",243289.2751,598756.8534,2017-12-15,2599-12-31
"113","NL","BGAR","HGZ",53.36786,6.71359,1,0,"17/09/2014 00:00","01/01/2017 00:00",243289.2751,598756.8534,2014-09-17,2017-01-01
"114","NL","BGAR","HGZ",53.36786,6.71359,1,0,"01/01/2017 00:00","15/12/2017 09:01",243289.2751,598756.8534,2017-01-01,2017-12-15
"115","NL","BGAR","HGZ",53.36786,6.71359,1,0,"15/12/2017 09:01","31/12/2599 23:59",243289.2751,598756.8534,2017-12-15,2599-12-31
"116","NL","BHAR","HGE",53.22916,6.70898,1,0,"17/09/2014 00:00","22/01/2022 00:00",243265.8689,583316.7192,2014-09-17,2022-01-22
"117","NL","BHAR","HGN",53.22916,6.70898,1,0,"17/09/2014 00:00","22/01/2022 00:00",243265.8689,583316.7192,2014-09-17,2022-01-22
"118","NL","BHAR","HGZ",53.22916,6.70898,1,0,"17/09/2014 00:00","22/01/2022 00:00",243265.8689,583316.7192,2014-09-17,2022-01-22
"119","NL","BHKS","HGE",53.29195,6.78502,1,0,"17/09/2014 00:00","31/12/2599 23:59",248207.606,590399.6553,2014-09-17,2599-12-31
"120","NL","BHKS","HGN",53.29195,6.78502,1,0,"17/09/2014 00:00","31/12/2599 23:59",248207.606,590399.6553,2014-09-17,2599-12-31
"121","NL","BHKS","HGZ",53.29195,6.78502,1,0,"17/09/2014 00:00","31/12/2599 23:59",248207.606,590399.6553,2014-09-17,2599-12-31
"122","NL","BING","BHE",50.9708,5.9268,80,0,"27/11/2014 00:00","31/12/2599 23:59",192902.9179,331374.8651,2014-11-27,2599-12-31
"123","NL","BING","BHN",50.9708,5.9268,80,0,"27/11/2014 00:00","31/12/2599 23:59",192902.9179,331374.8651,2014-11-27,2599-12-31
"124","NL","BING","BHZ",50.9708,5.9268,80,0,"27/11/2014 00:00","31/12/2599 23:59",192902.9179,331374.8651,2014-11-27,2599-12-31
"125","NL","BKMZ","HGE",53.290115,6.318887,2,0,"08/12/2015 00:00","31/12/2599 23:59",217129.5439,589692.5309,2015-12-08,2599-12-31
"126","NL","BKMZ","HGN",53.290115,6.318887,2,0,"08/12/2015 00:00","31/12/2599 23:59",217129.5439,589692.5309,2015-12-08,2599-12-31
"127","NL","BKMZ","HGZ",53.290115,6.318887,2,0,"08/12/2015 00:00","31/12/2599 23:59",217129.5439,589692.5309,2015-12-08,2599-12-31
"130","NL","BLIJE","HGZ",53.360325,5.84921,1.2,0,"18/02/2021 00:00","31/12/2599 23:59",185759.1642,597203.1599,2021-02-18,2599-12-31
"128","NL","BLIJE","HG1",53.360325,5.84921,1.2,0,"18/02/2021 00:00","31/12/2599 23:59",185759.1642,597203.1599,2021-02-18,2599-12-31
"129","NL","BLIJE","HG2",53.360325,5.84921,1.2,0,"18/02/2021 00:00","31/12/2599 23:59",185759.1642,597203.1599,2021-02-18,2599-12-31
"131","NL","BLOP","HGE",53.33391,6.74663,1,0,"23/09/2013 00:00","31/12/2599 23:59",245559.7439,595019.9156,2013-09-23,2599-12-31
"132","NL","BLOP","HGN",53.33391,6.74663,1,0,"23/09/2013 00:00","31/12/2599 23:59",245559.7439,595019.9156,2013-09-23,2599-12-31
"133","NL","BLOP","HGZ",53.33391,6.74663,1,0,"23/09/2013 00:00","31/12/2599 23:59",245559.7439,595019.9156,2013-09-23,2599-12-31
"134","NL","BMD1","HGE",53.34726,6.64225,2,0,"11/09/2013 00:00","11/03/2014 05:16",238580.939,596379.2337,2013-09-11,2014-03-11
