"","X","Y","Start_date","End_date"
"104",253433.671,586383.5079,"2017-04-04","2599-12-31"
"105",245559.7438,595019.9156,"2013-09-23","2599-12-31"
"106",243090.9595,596143.8737,"2013-04-24","2599-12-31"
"107",245559.7438,595019.9156,"2013-09-23","2599-12-31"
"108",252955.9283,590274.2394,"2014-11-12","2599-12-31"
"109",264920.4731,588749.5934,"2015-12-02","2599-12-31"
"110",234561.2513,585463.3871,"2015-11-27","2599-12-31"
"111",244524.3302,588132.1396,"2016-03-28","2599-12-31"
"112",264920.4731,588749.5934,"2015-12-02","2599-12-31"
"113",241645.0932,580508.0868,"2015-02-11","2599-12-31"
"114",248213.3896,593808.3977,"2013-09-24","2599-12-31"
"115",248360.1713,589228.8659,"2015-09-22","2599-12-31"
"116",248213.3896,593808.3977,"2013-09-24","2599-12-31"
"117",250087.3922,577365.0517,"2015-08-28","2599-12-31"
"118",243289.2751,598756.8534,"2017-12-15","2599-12-31"
"119",248207.606,590399.6553,"2014-09-17","2599-12-31"
"120",252739.2649,580012.2974,"2014-10-31","2599-12-31"
"121",256506.0921,594963.1148,"2015-09-15","2599-12-31"
"122",253433.671,586383.5079,"2017-04-04","2599-12-31"
"123",250660.2176,593719.6573,"2015-10-29","2599-12-31"
"124",244284.9563,582900.2906,"2014-10-24","2599-12-31"
"125",243975.9184,600985.2909,"2015-09-18","2599-12-31"
"126",246051.4828,597580.6998,"2013-09-23","2020-06-01"
"127",235413.6028,592553.0377,"2015-09-17","2599-12-31"
"128",250087.3922,577365.0517,"2015-08-28","2599-12-31"
"129",252739.2649,580012.2974,"2014-10-31","2599-12-31"
"130",251514.8103,593010.9562,"2013-10-07","2599-12-31"
"131",250240.6091,595545.2317,"2015-09-18","2599-12-31"
"132",255135.8618,577319.7528,"2015-02-11","2599-12-31"
"133",253433.671,586383.5079,"2017-04-04","2599-12-31"
"134",249932.7742,595841.4772,"2013-10-01","2599-12-31"
"135",237762.8191,589231.9711,"2015-11-27","2599-12-31"
"136",249932.7742,595841.4772,"2013-10-01","2599-12-31"
"137",247127.8894,578752.8488,"2014-09-17","2599-12-31"
"138",243289.2751,598756.8534,"2017-12-15","2599-12-31"
"139",251514.8103,593010.9562,"2013-10-07","2599-12-31"
"140",257568.1765,587595.918,"2015-12-07","2599-12-31"
"141",257568.1765,587595.918,"2015-12-07","2599-12-31"
"142",259790.0469,576975.2505,"2015-11-30","2599-12-31"
"143",244818.7241,577480.3161,"2014-10-23","2599-12-31"
"144",259587.5394,584993.26,"2018-07-06","2599-12-31"
"145",244284.9563,582900.2906,"2014-10-24","2599-12-31"
"146",252739.2649,580012.2974,"2014-10-31","2599-12-31"
"147",241645.0932,580508.0868,"2015-02-11","2599-12-31"
"148",252739.2649,580012.2974,"2014-10-31","2599-12-31"
"149",258722.6842,592415.1863,"2017-05-12","2599-12-31"
"150",248360.1713,589228.8659,"2015-09-22","2599-12-31"
"151",238209.1548,595141.2719,"2015-04-29","2599-12-31"
"152",247003.8257,592328.9727,"2015-02-16","2599-12-31"
"153",251789.5467,601049.6507,"2015-09-08","2599-12-31"
"154",257568.1765,587595.918,"2015-12-07","2599-12-31"
"155",244524.3302,588132.1396,"2016-03-28","2599-12-31"
"156",252612.1318,573944.5712,"2015-02-12","2599-12-31"
"157",261958.2215,582864.2158,"2015-02-11","2599-12-31"
"158",245723.4446,592494.9436,"2014-09-17","2019-12-07"
"159",251514.8103,593010.9562,"2013-10-07","2599-12-31"
"160",238291.8533,583886.6282,"2015-09-16","2599-12-31"
"161",251514.8103,593010.9562,"2013-10-07","2599-12-31"
"162",246962.0794,585986.3499,"2014-10-23","2599-12-31"
"163",255579.9145,589125.7619,"2014-10-23","2599-12-31"
"164",245723.4446,592494.9436,"2014-09-17","2019-12-07"
"165",255135.8618,577319.7528,"2015-02-11","2599-12-31"
"166",245559.7438,595019.9156,"2013-09-23","2599-12-31"
"167",255135.8618,577319.7528,"2015-02-11","2599-12-31"
"168",238209.1548,595141.2719,"2015-04-29","2599-12-31"
"169",255579.9145,589125.7619,"2014-10-23","2599-12-31"
"170",248360.1713,589228.8659,"2015-09-22","2599-12-31"
"171",245723.4446,592494.9436,"2014-09-17","2019-12-07"
"172",250011.9339,582983.3038,"2014-10-24","2599-12-31"
"173",241009.9847,592313.4984,"2015-02-10","2599-12-31"
"174",250240.6091,595545.2317,"2015-09-18","2599-12-31"
"175",248213.3896,593808.3977,"2013-09-24","2599-12-31"
"176",258722.6842,592415.1863,"2017-05-12","2599-12-31"
"177",240672.8336,585579.5799,"2016-01-22","2599-12-31"
"178",253433.671,586383.5079,"2017-04-04","2599-12-31"
"179",253433.671,586383.5079,"2017-04-04","2599-12-31"
"180",238291.8533,583886.6282,"2015-09-16","2599-12-31"
"181",249932.7742,595841.4772,"2013-10-01","2599-12-31"
"182",247003.8257,592328.9727,"2015-02-16","2599-12-31"
"183",255579.9145,589125.7619,"2014-10-23","2599-12-31"
"184",255579.9145,589125.7619,"2014-10-23","2599-12-31"
"185",248207.606,590399.6553,"2014-09-17","2599-12-31"
"186",243265.8688,583316.7192,"2014-09-17","2599-12-31"
"187",246758.2624,571707.7562,"2015-09-15","2599-12-31"
"188",238291.8533,583886.6282,"2015-09-16","2599-12-31"
"189",238943.6634,581422.3842,"2015-10-22","2599-12-31"
"190",232275.318,589018.0716,"2015-10-22","2599-12-31"
"191",251514.8103,593010.9562,"2013-10-07","2599-12-31"
"192",247003.8257,592328.9727,"2015-02-16","2599-12-31"
"193",247003.8257,592328.9727,"2015-02-16","2599-12-31"
"194",257568.1765,587595.918,"2015-12-07","2599-12-31"
"195",246051.4828,597580.6998,"2013-09-23","2020-06-01"
"196",238898.8933,597051.5785,"2013-09-10","2019-12-05"
"197",238291.8533,583886.6282,"2015-09-16","2599-12-31"
"198",238291.8533,583886.6282,"2015-09-16","2599-12-31"
"199",238209.1548,595141.2719,"2015-04-29","2599-12-31"
"200",238291.8533,583886.6282,"2015-09-16","2599-12-31"
"201",248213.3896,593808.3977,"2013-09-24","2599-12-31"
"202",248213.3896,593808.3977,"2013-09-24","2599-12-31"
"203",245723.4446,592494.9436,"2014-09-17","2019-12-07"
"204",258722.6842,592415.1863,"2017-05-12","2599-12-31"
"205",251514.8103,593010.9562,"2013-10-07","2599-12-31"
"206",238898.8933,597051.5785,"2013-09-10","2019-12-05"
"207",238898.8933,597051.5785,"2013-09-10","2019-12-05"
"208",247022.3198,604457.6339,"2015-07-16","2599-12-31"
"209",245723.4446,592494.9436,"2014-09-17","2019-12-07"
"210",243906.0488,594623.1669,"2015-09-18","2599-12-31"
"211",245723.4446,592494.9436,"2014-09-17","2019-12-07"
"212",245559.7438,595019.9156,"2013-09-23","2599-12-31"
"213",243265.8688,583316.7192,"2014-09-17","2599-12-31"
"214",237762.8191,589231.9711,"2015-11-27","2599-12-31"
"215",250087.3922,577365.0517,"2015-08-28","2599-12-31"
"216",251789.5467,601049.6507,"2015-09-08","2599-12-31"
"217",245723.4446,592494.9436,"2014-09-17","2019-12-07"
"218",255450.3924,595371.375,"2015-05-28","2599-12-31"
"219",238898.8933,597051.5785,"2013-09-10","2019-12-05"
"220",238898.8933,597051.5785,"2013-09-10","2019-12-05"
"221",247119.2125,597798.5977,"2015-02-11","2599-12-31"
"222",257568.1765,587595.918,"2015-12-07","2599-12-31"
"223",251514.8103,593010.9562,"2013-10-07","2599-12-31"
"224",238898.8933,597051.5785,"2013-09-10","2019-12-05"
"225",245559.7438,595019.9156,"2013-09-23","2599-12-31"
"226",233820.7457,598820.9625,"2017-10-05","2599-12-31"
"227",252955.9283,590274.2394,"2014-11-12","2599-12-31"
"228",246051.4828,597580.6998,"2013-09-23","2020-06-01"
"229",240487.1077,603067.5024,"2013-10-07","2019-12-06"
"230",247389.306,598590.4013,"2017-12-15","2019-03-02"
"231",243090.9595,596143.8737,"2013-04-24","2599-12-31"
"232",243265.8688,583316.7192,"2014-09-17","2599-12-31"
"233",259790.0469,576975.2505,"2015-11-30","2599-12-31"
"234",256770.6126,570348.0291,"2015-06-30","2599-12-31"
"235",256770.6126,570348.0291,"2015-06-30","2599-12-31"
"236",244284.9563,582900.2906,"2014-10-24","2599-12-31"
"237",238898.8933,597051.5785,"2013-09-10","2019-12-05"
"238",248360.1713,589228.8659,"2015-09-22","2599-12-31"
"239",232275.318,589018.0716,"2015-10-22","2599-12-31"
"240",252955.9283,590274.2394,"2014-11-12","2599-12-31"
"241",237762.8191,589231.9711,"2015-11-27","2599-12-31"
"242",250660.2176,593719.6573,"2015-10-29","2599-12-31"
"243",246962.0794,585986.3499,"2014-10-23","2599-12-31"
"244",238898.8933,597051.5785,"2013-09-10","2019-12-05"
"245",243975.9184,600985.2909,"2015-09-18","2599-12-31"
"246",241114.2716,600275.16,"2015-11-27","2599-12-31"
"247",253433.671,586383.5079,"2017-04-04","2599-12-31"
"248",241114.2716,600275.16,"2015-11-27","2599-12-31"
"249",250011.9339,582983.3038,"2014-10-24","2599-12-31"
"250",241114.2716,600275.16,"2015-11-27","2599-12-31"
"251",252955.9283,590274.2394,"2014-11-12","2599-12-31"
"252",255450.3924,595371.375,"2015-05-28","2599-12-31"
"253",253433.671,586383.5079,"2017-04-04","2599-12-31"
"254",248207.606,590399.6553,"2014-09-17","2599-12-31"
"255",243090.9595,596143.8737,"2013-04-24","2599-12-31"
"256",243090.9595,596143.8737,"2013-04-24","2599-12-31"
"257",250011.9339,582983.3038,"2014-10-24","2599-12-31"
"258",244818.7241,577480.3161,"2014-10-23","2599-12-31"
"259",232275.318,589018.0716,"2015-10-22","2599-12-31"
"260",243975.9184,600985.2909,"2015-09-18","2599-12-31"
"261",250087.3922,577365.0517,"2015-08-28","2599-12-31"
"262",250087.3922,577365.0517,"2015-08-28","2599-12-31"
"263",250011.9339,582983.3038,"2014-10-24","2599-12-31"
"264",247389.306,598590.4013,"2017-12-15","2019-03-02"
"265",252739.2649,580012.2974,"2014-10-31","2599-12-31"
"266",255450.3924,595371.375,"2015-05-28","2599-12-31"
"267",255450.3924,595371.375,"2015-05-28","2599-12-31"
"268",245080.1446,581028.328,"2016-06-14","2599-12-31"
"269",248360.1713,589228.8659,"2015-09-22","2599-12-31"
"270",248360.1713,589228.8659,"2015-09-22","2599-12-31"
"271",249312.4841,600052.8303,"2015-09-08","2599-12-31"
"272",245723.4446,592494.9436,"2014-09-17","2019-12-07"
"273",245080.1446,581028.328,"2016-06-14","2599-12-31"
"274",246051.4828,597580.6998,"2013-09-23","2020-06-01"
"275",250087.3922,577365.0517,"2015-08-28","2599-12-31"
"276",240672.8336,585579.5799,"2016-01-22","2599-12-31"
"277",253433.671,586383.5079,"2017-04-04","2599-12-31"
"278",255135.8618,577319.7528,"2015-02-11","2599-12-31"
"279",255135.8618,577319.7528,"2015-02-11","2599-12-31"
"280",241645.0932,580508.0868,"2015-02-11","2599-12-31"
"281",243265.8688,583316.7192,"2014-09-17","2599-12-31"
"282",252955.9283,590274.2394,"2014-11-12","2599-12-31"
"283",238291.8533,583886.6282,"2015-09-16","2599-12-31"
"284",249312.4841,600052.8303,"2015-09-08","2599-12-31"
"285",257568.1765,587595.918,"2015-12-07","2599-12-31"
"286",257568.1765,587595.918,"2015-12-07","2599-12-31"
