"","X","X.Network","Station","Channel","Latitude","Longitude","Elevation","Depth","StartTime","EndTime","Xcoord","Ycoord","Start_date","End_date"
"1252",2348,"NL","N014","HHZ",53.11851,6.473259,2,200,"14/04/2016 00:00","31/12/2599 23:59",227711.359,570740.5121,"14/04/2016","31/12/2599"
"1259",2363,"NL","N024","HHZ",53.071995,6.452966,2,200,"04/02/2016 00:00","31/12/2599 23:59",226429.3435,565544.1826,"04/02/2016","31/12/2599"
"1266",2378,"NL","N034","HHZ",53.11103,6.404509,2,200,"04/02/2016 00:00","31/12/2599 23:59",223120.5078,569840.9839,"04/02/2016","31/12/2599"
"1267",2381,"NL","NBMS","HGZ",52.593482,4.911113,-2.8,0,"30/05/2022 00:00","31/12/2599 23:59",122739.6706,511874.6317,"30/05/2022","31/12/2599"
"1273",2387,"NL","NGA","HGZ",53.136422,6.02567,0.4,0,"10/11/2020 00:00","31/12/2599 23:59",197728.2867,572375.2949,"10/11/2020","31/12/2599"
"1282",2402,"NL","NH014","HHZ",52.565738,4.996517,-2,200,"16/12/2019 00:00","31/12/2599 23:59",128509.9966,508752.934,"16/12/2019","31/12/2599"
"1301",2421,"NL","NIW4","HHE",53.3548,6.043,-1,120,"20/05/2009 00:00","15/02/2018 00:00",198666.703,596688.5006,"20/05/2009","15/02/2018"
"1302",2424,"NL","NIW4","HHE",53.3548,6.043,-1,120,"15/02/2018 00:00","31/12/2599 23:59",198666.703,596688.5006,"15/02/2018","31/12/2599"
"1307",2429,"NL","NLDW","HGZ",52.004992,4.195652,0.7,0,"06/04/2021 00:00","31/12/2599 23:59",73185.47024,446962.0522,"06/04/2021","31/12/2599"
"1310",2432,"NL","ODBK","HGZ",52.940526,6.133932,2.9,0,"17/09/2020 00:00","31/12/2599 23:59",205199.1655,550645.7404,"17/09/2020","31/12/2599"
"1313",2435,"NL","ODHP","HGZ",52.885203,6.024896,0.5,0,"17/09/2020 00:00","31/12/2599 23:59",197923.6879,544419.2716,"17/09/2020","31/12/2599"
"1316",2438,"NL","OLK","HGZ",52.629328,4.849538,-3.1,0,"17/05/2022 00:00","31/12/2599 23:59",118596.997,515892.3912,"17/05/2022","31/12/2599"
"1319",2441,"NL","OOTH","HGZ",52.729491,6.753439,13,0,"03/12/2021 00:00","31/12/2599 23:59",247287.5498,527775.0908,"03/12/2021","31/12/2599"
"1322",2442,"NL","OPLO","BHE",51.5888,5.8121,0,0,"03/09/1998 00:00","28/10/2009 00:00",184445.7748,400073.7043,"03/09/1998","28/10/2009"
"1323",2449,"NL","OPLO","BHE",51.5888,5.8121,0,0,"29/10/2009 00:00","31/12/2599 23:59",184445.7748,400073.7043,"29/10/2009","31/12/2599"
"1329",2465,"NL","OSTM","HGZ",53.187457,6.085701,3.5,0,"26/06/2020 00:00","31/12/2599 23:59",201690.6333,578091.955,"26/06/2020","31/12/2599"
"1359",2493,"NL","OTL4","HHE",52.6289,4.8227,-4,200,"21/04/1995 00:00","11/10/2010 00:00",116779.5719,515858.6099,"21/04/1995","11/10/2010"
"1360",2496,"NL","OTL4","HHE",52.6289,4.8227,-4,200,"11/10/2010 00:00","02/07/2019 10:15",116779.5719,515858.6099,"11/10/2010","02/07/2019"
"1361",2499,"NL","OTL4","HHE",52.6289,4.8227,-4,200,"02/07/2019 10:15","31/12/2599 23:59",116779.5719,515858.6099,"02/07/2019","31/12/2599"
