"","X.1","X","Station","Channel","Latitude","Longitude","StartTime","EndTime","Xcoord","Ycoord","Channel3","Start_Year","End_Year"
"41",2438,"NL","SPY1","HHE",53.4098,6.7838,"2016-06-14T11:00:00","2599-12-31T23:59:59",247871.7147,603512.4348,"E","2016","2599"
"42",2441,"NL","SPY2","HHE",53.4098,6.7838,"2010-07-08T00:00:00","2016-06-14T11:00:00",247871.7147,603512.4348,"E","2010","2016"
"43",2444,"NL","SPY2","HHE",53.4098,6.7838,"2016-06-14T11:00:00","2599-12-31T23:59:59",247871.7147,603512.4348,"E","2016","2599"
"44",2447,"NL","SPY3","HHE",53.4098,6.7838,"2010-07-08T00:00:00","2016-06-14T11:00:00",247871.7147,603512.4348,"E","2010","2016"
"45",2450,"NL","SPY3","HHE",53.4098,6.7838,"2016-06-14T11:00:00","2599-12-31T23:59:59",247871.7147,603512.4348,"E","2016","2599"
"46",2453,"NL","SPY4","HHE",53.4098,6.7838,"2010-07-08T00:00:00","2016-06-14T11:00:00",247871.7147,603512.4348,"E","2010","2016"
"47",2456,"NL","SPY4","HHE",53.4098,6.7838,"2016-06-14T11:00:00","2599-12-31T23:59:59",247871.7147,603512.4348,"E","2016","2599"
"48",2765,"NL","WDB1","HHE",53.2083,6.7355,"1995-04-12T00:00:00","2010-04-29T00:00:00",245080.1446,581028.328,"E","1995","2010"
"49",2768,"NL","WDB1","HHE",53.2083,6.7355,"2010-04-29T00:00:00","2016-06-14T14:00:00",245080.1446,581028.328,"E","2010","2016"
"50",2771,"NL","WDB1","HHE",53.2083,6.7355,"2016-06-14T14:00:00","2599-12-31T23:59:59",245080.1446,581028.328,"E","2016","2599"
"51",2774,"NL","WDB2","HHE",53.2083,6.7355,"1995-04-12T00:00:00","2010-04-29T00:00:00",245080.1446,581028.328,"E","1995","2010"
"52",2777,"NL","WDB2","HHE",53.2083,6.7355,"2010-04-29T00:00:00","2016-06-14T14:00:00",245080.1446,581028.328,"E","2010","2016"
"53",2780,"NL","WDB2","HHE",53.2083,6.7355,"2016-06-14T14:00:00","2599-12-31T23:59:59",245080.1446,581028.328,"E","2016","2599"
"54",2783,"NL","WDB3","HHE",53.2083,6.7355,"1995-04-12T00:00:00","2010-04-29T00:00:00",245080.1446,581028.328,"E","1995","2010"
"55",2786,"NL","WDB3","HHE",53.2083,6.7355,"2010-04-29T00:00:00","2016-06-14T14:00:00",245080.1446,581028.328,"E","2010","2016"
"56",2789,"NL","WDB3","HHE",53.2083,6.7355,"2016-06-14T14:00:00","2599-12-31T23:59:59",245080.1446,581028.328,"E","2016","2599"
"57",2792,"NL","WDB4","HHE",53.2083,6.7355,"1995-04-12T00:00:00","2010-04-29T00:00:00",245080.1446,581028.328,"E","1995","2010"
