"","Network","Station","Channel","Latitude","Longitude","StartTime","EndTime","Xcoord","Ycoord","Channel3","Start_Year","End_Year","Start_date","End_date"
"36","NL","BSTD","HGE",53.312297,6.692137,"2015-10-23T11:03:00","2019-12-05T13:00:00",241973.5175,592547.6047,"E",2015,2019,"2015-10-23","2019-12-05"
"37","NL","BSTD","HGE",53.31215,6.692101,"2019-12-05T13:00:00","2599-12-31T23:59:59",241971.4148,592531.203,"E",2019,2599,"2019-12-05","2599-12-31"
"38","NL","BUHZ","HGE",53.40704,6.67266,"2013-10-07T00:00:00","2019-12-06T00:00:00",240487.1077,603067.5024,"E",2013,2019,"2013-10-07","2019-12-06"
"39","NL","BWIN","HGE",53.3112,6.74837,"2014-09-17T00:00:00","2019-12-07T00:00:00",245723.4446,592494.9436,"E",2014,2019,"2014-09-17","2019-12-07"
"40","NL","BWIR","HGE",53.32257,6.7861,"2013-09-24T00:00:00","2599-12-31T23:59:59",248213.3896,593808.3977,"E",2013,2599,"2013-09-24","2599-12-31"
"41","NL","BWSE","HGE",53.34442,6.70989,"2013-04-24T00:00:00","2599-12-31T23:59:59",243090.9595,596143.8737,"E",2013,2599,"2013-04-24","2599-12-31"
"42","NL","BZN1","HGE",53.36567,6.77512,"2013-10-24T00:00:00","2017-01-01T00:00:00",247389.306,598590.4013,"E",2013,2017,"2013-10-24","2017-01-01"
"43","NL","BZN1","HGE",53.36567,6.77512,"2017-01-01T00:00:00","2017-12-15T09:03:00",247389.306,598590.4013,"E",2017,2017,"2017-01-01","2017-12-15"
"44","NL","BZN1","HGE",53.36567,6.77512,"2017-12-15T09:03:00","2019-03-02T00:00:00",247389.306,598590.4013,"E",2017,2019,"2017-12-15","2019-03-02"
"45","NL","BZN2","HGE",53.35683,6.75474,"2013-09-23T00:00:00","2020-06-01T00:00:00",246051.4828,597580.6998,"E",2013,2020,"2013-09-23","2020-06-01"
"46","NL","CHA1","HHE",51.5043,4.9212,"2011-07-03T00:00:00","2018-05-25T00:00:00",122645.6832,390690.3308,"E",2011,2018,"2011-07-03","2018-05-25"
"47","NL","CHA2","HHE",51.5043,4.9212,"2011-07-03T00:00:00","2018-05-25T00:00:00",122645.6832,390690.3308,"E",2011,2018,"2011-07-03","2018-05-25"
"48","NL","CHA3","HHE",51.5043,4.9212,"2011-07-03T00:00:00","2018-05-25T00:00:00",122645.6832,390690.3308,"E",2011,2018,"2011-07-03","2018-05-25"
"49","NL","CHA4","HHE",51.5043,4.9212,"2011-07-03T00:00:00","2018-05-25T00:00:00",122645.6832,390690.3308,"E",2011,2018,"2011-07-03","2018-05-25"
"50","NL","CHA5","HHE",51.5043,4.9212,"2011-07-03T00:00:00","2018-05-25T00:00:00",122645.6832,390690.3308,"E",2011,2018,"2011-07-03","2018-05-25"
"51","NL","DBN","BHE",52.1017,5.1767,"1997-11-25T00:00:00","2018-06-30T23:59:00",140577.1344,457071.562,"E",1997,2018,"1997-11-25","2018-06-30"
"52","NL","DBN","BHE",52.1017,5.1767,"2018-07-01T00:00:00","2599-12-31T23:59:59",140577.1344,457071.562,"E",2018,2599,"2018-07-01","2599-12-31"
"53","NL","DBN","HHE",52.1017,5.1767,"2018-07-01T00:00:00","2599-12-31T23:59:59",140577.1344,457071.562,"E",2018,2599,"2018-07-01","2599-12-31"
"54","NL","DBN","LCE",52.1017,5.1767,"2018-07-01T00:00:00","2599-12-31T23:59:59",140577.1344,457071.562,"E",2018,2599,"2018-07-01","2599-12-31"
"55","NL","DBN","LHE",52.1017,5.1767,"2018-07-01T00:00:00","2599-12-31T23:59:59",140577.1344,457071.562,"E",2018,2599,"2018-07-01","2599-12-31"
"56","NL","ENM1","HHE",53.4064,6.4817,"1995-04-12T00:00:00","2010-01-22T00:00:00",227789.4307,602786.1875,"E",1995,2010,"1995-04-12","2010-01-22"
"57","NL","ENM1","HHE",53.4064,6.4817,"2010-01-22T00:00:00","2016-05-04T09:00:00",227789.4307,602786.1875,"E",2010,2016,"2010-01-22","2016-05-04"
"58","NL","ENM1","HHE",53.4064,6.4817,"2016-05-04T09:00:00","2599-12-31T23:59:59",227789.4307,602786.1875,"E",2016,2599,"2016-05-04","2599-12-31"
"59","NL","ENM2","HHE",53.4064,6.4817,"1995-04-12T00:00:00","2010-01-22T00:00:00",227789.4307,602786.1875,"E",1995,2010,"1995-04-12","2010-01-22"
"60","NL","ENM2","HHE",53.4064,6.4817,"2010-01-22T00:00:00","2016-05-04T09:00:00",227789.4307,602786.1875,"E",2010,2016,"2010-01-22","2016-05-04"
"61","NL","ENM2","HHE",53.4064,6.4817,"2016-05-04T09:00:00","2599-12-31T23:59:59",227789.4307,602786.1875,"E",2016,2599,"2016-05-04","2599-12-31"
"62","NL","ENM3","HHE",53.4064,6.4817,"1995-04-12T00:00:00","2010-01-22T00:00:00",227789.4307,602786.1875,"E",1995,2010,"1995-04-12","2010-01-22"
"63","NL","ENM3","HHE",53.4064,6.4817,"2010-01-22T00:00:00","2016-05-04T09:00:00",227789.4307,602786.1875,"E",2010,2016,"2010-01-22","2016-05-04"
"64","NL","ENM3","HHE",53.4064,6.4817,"2016-05-04T09:00:00","2599-12-31T23:59:59",227789.4307,602786.1875,"E",2016,2599,"2016-05-04","2599-12-31"
"65","NL","ENM4","HHE",53.4064,6.4817,"1995-04-12T00:00:00","2010-01-22T00:00:00",227789.4307,602786.1875,"E",1995,2010,"1995-04-12","2010-01-22"
"66","NL","ENM4","HHE",53.4064,6.4817,"2010-01-22T00:00:00","2016-05-04T09:00:00",227789.4307,602786.1875,"E",2010,2016,"2010-01-22","2016-05-04"
"67","NL","ENM4","HHE",53.4064,6.4817,"2016-05-04T09:00:00","2599-12-31T23:59:59",227789.4307,602786.1875,"E",2016,2599,"2016-05-04","2599-12-31"
"68","NL","ENV1","HHE",52.8944,6.6337,"1995-09-09T00:00:00","2009-12-04T00:00:00",238883.1957,545977.4262,"E",1995,2009,"1995-09-09","2009-12-04"
